"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air New Zealand","Vancouver International Airport","YYZ","2023-06-05 09:00",38,10,"Domestic"
"Porter Airlines","Vancouver International Airport","YYZ","2023-06-05 13:00",38,15,"Domestic"
"Air Canada","Lynden Pindling International Airport","YYZ","2023-06-05 12:55",2,179,"International"
"Air Transat","Calgary International Airport","YYZ","2023-06-05 13:05",36,29,"Domestic"
"Air Canada","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 13:10",26,179,"Domestic"
"Aeromexico","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-05 13:10",15,7,"International"
"Air Transat","Halifax Stanfield International Airport","YYZ","2023-06-05 13:10",21,29,"Domestic"
"Austrian","Vancouver International Airport","YYZ","2023-06-05 13:05",38,17,"Domestic"
"Piedmont Airlines","Chicago O'Hare International Airport","YYZ","2023-06-05 13:15",26,1,"International"
"Porter Airlines","Edmonton International Airport","YYZ","2023-06-05 13:15",27,15,"Domestic"
"Air Transat","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 13:20",26,29,"Domestic"
"Air Canada","Cleveland Hopkins International Airport","YYZ","2023-06-05 13:20",5,179,"International"
"All Nippon Airways","Tokyo International Airport","YYZ","2023-06-05 13:25",2,5,"International"
"GOL Linhas Aereas Inteligentes","Dallas/Fort Worth International Airport","YYZ","2023-06-05 13:27",8,3,"International"
"Jazz Aviation","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 13:30",39,41,"Domestic"
"United Airlines","La Guardia Airport","YYZ","2023-06-05 13:30",37,83,"International"
"Swoop","Abbotsford Airport","YYZ","2023-06-05 13:30",4,7,"Domestic"
"Flair Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 13:35",25,21,"Domestic"
"Korean Air","Calgary International Airport","YYZ","2023-06-05 13:35",36,7,"Domestic"
"Flair Airlines","Abbotsford Airport","YYZ","2023-06-05 13:40",4,21,"Domestic"
"Swoop","McCarran International Airport","YYZ","2023-06-05 13:45",6,7,"International"
"Air Canada rouge","Southwest Florida International Airport","YYZ","2023-06-05 13:45",2,33,"International"
"Air Canada rouge","Saskatoon John G. Diefenbaker International Airport","YYZ","2023-06-05 13:50",8,33,"Domestic"
"Air Canada","Raleigh-Durham International Airport","YYZ","2023-06-05 12:35",4,179,"International"
"Porter Airlines","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 13:55",39,2,"Domestic"
"Emirates","Halifax Stanfield International Airport","YYZ","2023-06-05 14:00",21,21,"Domestic"
"Emirates","Sudbury Airport","YYZ","2023-06-05 14:00",3,21,"Domestic"
"Jazz Aviation","Philadelphia International Airport","YYZ","2023-06-05 14:00",12,41,"International"
"SAS","Newark Liberty International Airport","YYZ","2023-06-05 14:00",27,9,"International"
"Jazz Aviation","Sault Ste. Marie Airport","YYZ","2023-06-05 14:00",3,41,"Domestic"
"Austrian","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 14:00",39,17,"Domestic"
"Austrian","Vancouver International Airport","YYZ","2023-06-05 14:00",38,17,"Domestic"
"Air Canada","Chicago O'Hare International Airport","YYZ","2023-06-05 14:00",26,179,"International"
"Air Canada","Incheon International Airport","YYZ","2023-06-05 14:00",4,179,"International"
"Air Canada","Washington Dulles International Airport","YYZ","2023-06-05 14:00",10,179,"International"
"Air Canada","Indianapolis International Airport","YYZ","2023-06-05 14:00",3,179,"International"
"Air Canada","Minneapolis-St Paul International Airport","YYZ","2023-06-05 14:00",12,179,"International"
