"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Allegiant Air","Rogue Valley International - Medford Airport","LAX","2023-06-05 17:38",1,4,"Domestic"
"American Airlines","London Heathrow Airport","LAX","2023-06-05 18:13",21,38,"International"
"American Airlines","San Antonio International Airport","LAX","2023-06-05 18:15",5,38,"Domestic"
"Air France","Paris Charles de Gaulle Airport","LAX","2023-06-05 18:20",10,13,"International"
"Uzbekistan Airways","Istanbul Airport","LAX","2023-06-05 18:35",5,2,"International"
"Air France","Memphis International Airport","LAX","2023-06-05 18:40",1,13,"Domestic"
"American Airlines","Helsinki-Vantaa Airport","LAX","2023-06-05 18:45",1,38,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-05 19:02",13,17,"International"
"Lufthansa Cargo","Frankfurt Airport","LAX","2023-06-05 18:40",4,3,"International"
"Lufthansa","Frankfurt Airport","LAX","2023-06-05 18:40",4,3,"International"
NA,"Guadalajara International Airport","LAX","2023-06-05 19:11",14,23,"International"
"Swiss","Zurich Airport","LAX","2023-06-05 19:25",2,1,"International"
"French bee","Paris Orly Airport","LAX","2023-06-05 19:45",1,1,"International"
"Aeromexico","Seattle-Tacoma International Airport","LAX","2023-06-05 19:47",2,17,"Domestic"
"American Airlines","Barcelona-El Prat Airport","LAX","2023-06-05 19:55",1,38,"International"
"British Airways","Dublin Airport","LAX","2023-06-05 20:15",2,8,"International"
"Air France","London Heathrow Airport","LAX","2023-06-05 20:25",21,13,"International"
"Saudi Arabian Airlines","King Abdulaziz International Airport","LAX","2023-06-05 20:40",1,1,"International"
"Avianca","El Dorado International Airport","LAX","2023-06-05 20:45",2,6,"International"
"American Airlines","London Heathrow Airport","LAX","2023-06-05 20:55",21,38,"International"
"Delta Air Lines","Jorge Chavez International Airport","LAX","2023-06-05 21:10",3,17,"International"
"Air France","Paris Charles de Gaulle Airport","LAX","2023-06-05 21:15",10,13,"International"
"American Airlines","Brisbane Airport","LAX","2023-06-05 21:20",2,38,"International"
"Air Canada","Auckland International Airport","LAX","2023-06-05 22:00",2,5,"International"
"EVA Airways","Tocumen International Airport","LAX","2023-06-05 22:06",6,8,"International"
"American Airlines","Melbourne Airport","LAX","2023-06-05 22:20",2,38,"International"
"Air France","Tampa International Airport","LAX","2023-06-05 22:28",1,13,"Domestic"
"Air France","London Heathrow Airport","LAX","2023-06-05 22:50",21,13,"International"
"American Airlines","Sydney International Airport","LAX","2023-06-05 22:54",4,38,"International"
"Copa Airlines","Incheon International Airport","LAX","2023-06-05 23:00",14,5,"International"
"Aeromexico","Incheon International Airport","LAX","2023-06-05 23:30",14,17,"International"
"American Airlines","Sydney International Airport","LAX","2023-06-05 23:40",4,38,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-05 23:40",5,5,"International"
"Singapore Airlines","Singapore Changi Airport","LAX","2023-06-05 23:40",2,7,"International"
"American Airlines","Nadi International Airport","LAX","2023-06-05 23:55",2,38,"International"
"China Airlines","Taiwan Taoyuan International Airport","LAX","2023-06-06 00:05",11,5,"International"
"Avianca","Taiwan Taoyuan International Airport","LAX","2023-06-06 00:15",11,6,"International"
NA,"Guadalajara International Airport","LAX","2023-06-06 00:43",14,23,"International"
NA,"General Francisco J. Mujica International Airport","LAX","2023-06-06 00:43",2,23,"International"
"EVA Airways","Taiwan Taoyuan International Airport","LAX","2023-06-06 00:50",11,8,"International"
NA,"Del Bajio International Airport","LAX","2023-06-06 00:50",1,23,"International"
"American Airlines","Tokyo International Airport","LAX","2023-06-06 00:58",13,38,"International"
"Air Canada","Aeropuerto Internacional El Salvador","LAX","2023-06-06 01:00",6,5,"International"
NA,"Guadalajara International Airport","LAX","2023-06-06 01:10",14,23,"International"
"American Airlines","Hong Kong International Airport","LAX","2023-06-06 01:15",3,38,"International"
"EVA Airways","Tocumen International Airport","LAX","2023-06-06 01:20",6,8,"International"
"All Nippon Airways","Tokyo International Airport","LAX","2023-06-06 01:20",13,3,"International"
"American Airlines","Miami International Airport","LAX","2023-06-05 23:59",4,38,"Domestic"
"EVA Airways","Tocumen International Airport","LAX","2023-06-06 01:54",6,8,"International"
"Hawaiian Airlines","Daniel K. Inouye International Airport","LAX","2023-06-06 07:00",13,12,"Domestic"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-06 07:00",13,17,"International"
"American Airlines","Phoenix Sky Harbor International Airport","LAX","2023-06-06 07:17",4,38,"Domestic"
"British Airways","Chicago O'Hare International Airport","LAX","2023-06-06 07:45",5,8,"Domestic"
"LATAM Airlines Chile","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-06 07:55",5,7,"Domestic"
"Hawaiian Airlines","Kahului Airport","LAX","2023-06-06 08:15",3,12,"Domestic"
"China Eastern Airlines","Daniel K. Inouye International Airport","LAX","2023-06-06 08:20",13,2,"Domestic"
"Delta Air Lines","San Francisco International Airport","LAX","2023-06-06 08:28",2,17,"Domestic"
"Qantas Airways","Los Cabos International Airport","LAX","2023-06-06 08:50",1,3,"International"
"Air Tahiti Nui","Philadelphia International Airport","LAX","2023-06-06 09:00",2,7,"Domestic"
"Hawaiian Airlines","Lihue Airport","LAX","2023-06-06 09:15",3,12,"Domestic"
"Air Tahiti Nui","Dallas/Fort Worth International Airport","LAX","2023-06-06 09:20",5,7,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-06-06 09:20",14,23,"International"
"China Airlines","San Antonio International Airport","LAX","2023-06-06 09:45",5,5,"Domestic"
"British Airways","Chicago O'Hare International Airport","LAX","2023-06-06 09:58",5,8,"Domestic"
"Hawaiian Airlines","Daniel K. Inouye International Airport","LAX","2023-06-06 10:00",13,12,"Domestic"
NA,"Aguascalientes International Airport","LAX","2023-06-06 10:23",1,23,"International"
"American Airlines","Tokyo International Airport","LAX","2023-06-06 10:28",13,38,"International"
"Virgin Atlantic","Salt Lake City International Airport","LAX","2023-06-06 10:00",3,8,"Domestic"
"Air Premia","Incheon International Airport","LAX","2023-06-06 10:50",14,3,"International"
"Air Tahiti Nui","Charlotte Douglas International Airport","LAX","2023-06-06 07:26",3,7,"Domestic"
"British Airways","Miami International Airport","LAX","2023-06-06 06:00",4,8,"Domestic"
"American Airlines","Miami International Airport","LAX","2023-06-06 08:08",4,38,"Domestic"
"American Airlines","Raleigh-Durham International Airport","LAX","2023-06-06 09:00",4,38,"Domestic"
"Aeromexico","Licenciado Gustavo Diaz Ordaz International Airport","LAX","2023-06-06 10:00",3,17,"International"
"Hawaiian Airlines","Kona International Airport","LAX","2023-06-06 11:00",3,12,"Domestic"
NA,"General Francisco J. Mujica International Airport","LAX","2023-06-06 11:23",2,23,"International"
"EL AL","Ben Gurion International Airport","LAX","2023-06-06 11:30",3,3,"International"
"Westjet","Benito Juarez International Airport","LAX","2023-06-06 11:52",13,1,"International"
"Copa Airlines","Incheon International Airport","LAX","2023-06-06 12:10",14,5,"International"
"Avianca","Taiwan Taoyuan International Airport","LAX","2023-06-06 12:15",11,6,"International"
"Aeromexico","Incheon International Airport","LAX","2023-06-06 12:30",14,17,"International"
"Thai Airways International","Narita International Airport","LAX","2023-06-06 12:45",9,3,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-06 12:50",5,5,"International"
"LATAM Airlines Chile","Narita International Airport","LAX","2023-06-06 13:05",9,7,"International"
NA,"Aeropuerto Internacional El Salvador","LAX","2023-06-06 13:50",6,1,"International"
"SAS","Copenhagen Airport","LAX","2023-06-06 13:50",3,3,"International"
"KLM Royal Dutch Airlines","Amsterdam Airport Schiphol","LAX","2023-06-06 13:55",5,2,"International"
"Uzbekistan Airways","Istanbul Airport","LAX","2023-06-06 13:55",5,2,"International"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-06 14:00",5,17,"Domestic"
"Alaska Airlines","Tokyo International Airport","LAX","2023-06-06 13:30",13,6,"International"
"Singapore Airlines","Narita International Airport","LAX","2023-06-06 14:20",9,7,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-06 14:30",13,17,"International"
"Avianca Costa Rica","La Aurora International Airport","LAX","2023-06-06 14:45",3,1,"International"
"Malaysia Airlines","Hamad International Airport","LAX","2023-06-06 14:45",4,5,"International"
"Austrian","Frankfurt Airport","LAX","2023-06-06 15:00",4,3,"International"
"Etihad","Leonardo da Vinci-Fiumicino Airport","LAX","2023-06-06 15:10",3,3,"International"
"Delta Air Lines","Paris Charles de Gaulle Airport","LAX","2023-06-06 15:25",10,17,"International"
"Aeromexico","London Heathrow Airport","LAX","2023-06-06 15:40",21,17,"International"
"Aer Lingus","London Heathrow Airport","LAX","2023-06-06 15:45",21,1,"International"
"Air Tahiti Nui","Philadelphia International Airport","LAX","2023-06-06 10:51",2,7,"Domestic"
"Breeze Airways","Jacksonville International Airport","LAX","2023-06-06 12:20",1,4,"Domestic"
"Breeze Airways","Richmond International Airport","LAX","2023-06-06 12:45",1,4,"Domestic"
"Fiji Airways","Dallas/Fort Worth International Airport","LAX","2023-06-06 16:30",5,1,"Domestic"
"American Airlines","Fa'a'a International Airport","LAX","2023-06-06 16:30",4,38,"International"
"Qatar Airways","Hamad International Airport","LAX","2023-06-06 16:35",4,4,"International"
"Emirates","Dubai International Airport","LAX","2023-06-06 16:40",3,3,"International"
"Delta Air Lines","Nashville International Airport","LAX","2023-06-06 16:50",2,17,"Domestic"
"Virgin Atlantic","Amsterdam Airport Schiphol","LAX","2023-06-06 16:55",5,8,"International"
"Finnair","London Heathrow Airport","LAX","2023-06-06 17:05",21,2,"International"
"Lufthansa Cargo","Munich International Airport","LAX","2023-06-06 17:10",3,3,"International"
"Lufthansa","Munich International Airport","LAX","2023-06-06 17:10",3,3,"International"
