"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"AC","ACA","AC119","ACA119","119","YYZ","CYYZ","1","2023-06-05 16:15","YVR","CYVR",300
"AC","ACA","AC8782","ACA8782","8782","YYZ","CYYZ","1","2023-06-05 16:30","DCA","KDCA",91
"AC","ACA","AC743","ACA743","743","YYZ","CYYZ","1","2023-06-05 16:30","SFO","KSFO",338
"AC","ACA","AC8955","ACA8955","8955","YYZ","CYYZ","1","2023-06-05 16:30","ATL","KATL",130
"1I","EJA","1I919","EJA919","919","YYZ","CYYZ",NA,"2023-06-05 16:00","EWR","KEWR",123
"AC","ACA","AC8880","ACA8880","8880","YYZ","CYYZ","1","2023-06-05 16:30","EWR","KEWR",90
"1I","EJA","1I557","EJA557","557","YYZ","CYYZ",NA,"2023-06-05 16:30","MSP","KMSP",NA
"AF","AFR","AF8266","AFR8266","8266","YYZ","CYYZ","3","2023-06-05 17:00","AMS","EHAM",425
"AC","ACA","AC8359","ACA8359","8359","YYZ","CYYZ","1","2023-06-05 16:50","YQG","CYQG",64
"3S","BOX","3S426","BOX426","426","YYZ","CYYZ",NA,"2023-06-05 17:40","ATL","KATL",NA
"AC","ACA","AC1033","ACA1033","1033","YYZ","CYYZ","1","2023-06-05 16:45","DFW","KDFW",197
"AC","ACA","AC1807","ACA1807","1807","YYZ","CYYZ","1","2023-06-05 16:45","SJO","MROC",305
"AC","ACA","AC8925","ACA8925","8925","YYZ","CYYZ","1","2023-06-05 16:55","PIT","KPIT",66
"9E","EDV","9E4989","EDV4989","4989","YYZ","CYYZ","3","2023-06-05 16:44","JFK","KJFK",105
NA,"EDG",NA,"EDG359","359","YYZ","CYYZ",NA,"2023-06-05 17:45","TEB","KTEB",NA
"SK","SAS","SK950","SAS950","950","YYZ","CYYZ","1","2023-06-05 17:00","CPH","EKCH",480
"AC","ACA","AC8857","ACA8857","8857","YYZ","CYYZ","1","2023-06-05 16:50","BNA","KBNA",129
"9E","EDV","9E5023","EDV5023","5023","YYZ","CYYZ","3","2023-06-05 17:15","LGA","KLGA",100
"AC","ACA","AC894","ACA894","894","YYZ","CYYZ","1","2023-06-05 17:00","YUL","CYUL",77
"AC","ACA","AC6162","ACA6162","6162","YYZ","CYYZ","1","2023-06-05 17:15","SAL","MSLP",305
"AA","AAL","AA1111","AAL1111","1111","YYZ","CYYZ","3","2023-06-05 17:28","DFW","KDFW",203
"AC","ACA","AC4990","ACA4990","4990","YYZ","CYYZ","1","2023-06-05 17:30","ORD","KORD",119
"AC","ACA","AC3254","ACA3254","3254","YYZ","CYYZ","1","2023-06-05 17:40","EWR","KEWR",103
"AF","AFR","AF3730","AFR3730","3730","YYZ","CYYZ","3","2023-06-05 17:35","YWG","CYWG",158
"AC","ACA","AC720","ACA720","720","YYZ","CYYZ","1","2023-06-05 17:10","LGA","KLGA",92
"AA","AAL","AA1572","AAL1572","1572","YYZ","CYYZ","3","2023-06-05 17:55","MIA","KMIA",200
"9E","EDV","9E5005","EDV5005","5005","YYZ","CYYZ","3","2023-06-05 17:45","DTW","KDTW",90
"AA","AAL","AA6114","AAL6114","6114","YYZ","CYYZ","3","2023-06-05 17:50","PHL","KPHL",93
"AC","ACA","AC490","ACA490","490","YYZ","CYYZ","1","2023-06-05 17:45","YUL","CYUL",77
"AC","ACA","AC1901","ACA1901","1901","YYZ","CYYZ","1","2023-06-05 08:40","YYJ","CYYJ",307
"AC","ACA","AC840","ACA840","840","YYZ","CYYZ","1","2023-06-05 16:50","FRA","EDDF",460
"AC","ACA","AC460","ACA460","460","YYZ","CYYZ","1","2023-06-05 17:10","YOW","CYOW",63
NA,"GAJ",NA,"GAJ501","501","YYZ","CYYZ",NA,"2023-06-05 16:00","TEB","KTEB",NA
"AC","ACA","AC770","ACA770","770","YYZ","CYYZ","1","2023-06-05 17:30","BOS","KBOS",91
"DL","DAL","DL1893","DAL1893","1893","YYZ","CYYZ","3","2023-06-05 17:55","ATL","KATL",139
"AC","ACA","AC692","ACA692","692","YYZ","CYYZ","1","2023-06-05 16:50","YYT","CYYT",181
"AC","ACA","AC1674","ACA1674","1674","YYZ","CYYZ","1","2023-06-05 16:25","MCO","KMCO",165
"A3","AEE","A33064","AEE3064","3064","YYZ","CYYZ","1","2023-06-05 17:30","MUC","EDDM",495
NA,"DPJ",NA,"DPJ482","482","YYZ","CYYZ",NA,"2023-06-05 17:00","BUF","KBUF",NA
"AC","ACA","AC886","ACA886","886","YYZ","CYYZ","1","2023-06-05 17:50","VIE","LOWW",520
"AC","ACA","AC173","ACA173","173","YYZ","CYYZ","1","2023-06-05 16:40","YEG","CYEG",255
"AF","AFR","AF7277","AFR7277","7277","YYZ","CYYZ","3","2023-06-05 18:00","YHZ","CYHZ",125
"DL","DAL","DL1931","DAL1931","1931","YYZ","CYYZ","3","2023-06-05 18:10","SLC","KSLC",261
"BA","BAW","BA6156","BAW6156","6156","YYZ","CYYZ","3","2023-06-05 17:50","DUB","EIDW",400
"AC","ACA","AC80","ACA80","80","YYZ","CYYZ","1","2023-06-05 16:10","TLV","LLBG",655
"AC","ACA","AC8261","ACA8261","8261","YYZ","CYYZ","1","2023-06-05 18:00","YXU","CYXU",43
"F8","FLE","F8641","FLE641","641","YYZ","CYYZ","3","2023-06-05 18:15","YWG","CYWG",150
"A3","AEE","A33069","AEE3069","3069","YYZ","CYYZ","1","2023-06-05 18:10","ATH","LGAV",590
"AC","ACA","AC153","ACA153","153","YYZ","CYYZ","1","2023-06-05 18:20","YYC","CYYC",251
"AC","ACA","AC492","ACA492","492","YYZ","CYYZ","1","2023-06-05 18:30","YUL","CYUL",77
"AC","ACA","AC9104","ACA9104","9104","YYZ","CYYZ","1","2023-06-05 18:20","FRA","EDDF",450
"AF","AFR","AF3026","AFR3026","3026","YYZ","CYYZ","3","2023-06-05 18:15","YVR","CYVR",307
"AC","ACA","AC1925","ACA1925","1925","YYZ","CYYZ","1","2023-06-05 18:00","YQR","CYQR",199
"AC","ACA","AC759","ACA759","759","YYZ","CYYZ","1","2023-06-05 18:25","SMF","KSMF",324
"AF","AFR","AF351","AFR351","351","YYZ","CYYZ","3","2023-06-05 18:25","CDG","LFPG",440
"AA","AAL","AA6291","AAL6291","6291","YYZ","CYYZ","3","2023-06-05 18:30","ORD","KORD",113
"AC","ACA","AC267","ACA267","267","YYZ","CYYZ","1","2023-06-05 17:55","YWG","CYWG",160
"AC","ACA","AC595","ACA595","595","YYZ","CYYZ","1","2023-06-05 18:30","IAH","KIAH",218
"AC","ACA","AC793","ACA793","793","YYZ","CYYZ","1","2023-06-05 18:30","LAX","KLAX",329
"AC","ACA","AC8882","ACA8882","8882","YYZ","CYYZ","1","2023-06-05 18:30","EWR","KEWR",93
"AF","AFR","AF6549","AFR6549","6549","YYZ","CYYZ","3","2023-06-05 18:30","YEG","CYEG",250
"AA","AAL","AA6917","AAL6917","6917","YYZ","CYYZ","3","2023-06-05 18:35","LHR","EGLL",420
"AC","ACA","AC1628","ACA1628","1628","YYZ","CYYZ","1","2023-06-05 17:55","FLL","KFLL",184
"AC","ACA","AC8684","ACA8684","8684","YYZ","CYYZ","1","2023-06-05 18:25","BWI","KBWI",83
"AC","ACA","AC1538","ACA1538","1538","YYZ","CYYZ","1","2023-06-05 18:25","YHZ","CYHZ",125
"AC","ACA","AC7739","ACA7739","7739","YYZ","CYYZ","1","2023-06-05 16:30","YYB","CYYB",57
"AC","ACA","AC8620","ACA8620","8620","YYZ","CYYZ","1","2023-06-05 18:50","IAD","KIAD",85
"WG","SWG","WG600","SWG600","600","YYZ","CYYZ","3","2023-06-05 18:50","CCC","MUCC",210
"AC","ACA","AC745","ACA745","745","YYZ","CYYZ","1","2023-06-05 18:55","SFO","KSFO",338
"9E","EDV","9E5060","EDV5060","5060","YYZ","CYYZ","3","2023-06-05 18:50","LGA","KLGA",104
"AC","ACA","AC125","ACA125","125","YYZ","CYYZ","1","2023-06-05 19:00","YVR","CYVR",295
"AC","ACA","AC424","ACA424","424","YYZ","CYYZ","1","2023-06-05 19:00","YUL","CYUL",77
"AC","ACA","AC462","ACA462","462","YYZ","CYYZ","1","2023-06-05 18:10","YOW","CYOW",63
"AC","ACA","AC8775","ACA8775","8775","YYZ","CYYZ","1","2023-06-05 19:00","DTW","KDTW",67
"BW","BWA","BW617","BWA617","617","YYZ","CYYZ","3","2023-06-05 19:00","GEO","SYCJ",375
"AC","ACA","AC8707","ACA8707","8707","YYZ","CYYZ","1","2023-06-05 18:45","CVG","KCVG",94
"AC","ACA","AC8721","ACA8721","8721","YYZ","CYYZ","1","2023-06-05 19:05","MSP","KMSP",130
"Y9","DAT","Y9114","DAT114","114","YYZ","CYYZ","1","2023-06-05 19:05","YVR","CYVR",320
"AC","ACA","AC3712","ACA3712","3712","YYZ","CYYZ","1","2023-06-05 19:10","EWR","KEWR",106
"AC","ACA","AC8755","ACA8755","8755","YYZ","CYYZ","1","2023-06-05 19:10","CMH","KCMH",71
"AC","ACA","AC8936","ACA8936","8936","YYZ","CYYZ","1","2023-06-05 19:15","PHL","KPHL",87
"AC","ACA","AC8996","ACA8996","8996","YYZ","CYYZ","1","2023-06-05 18:10","LGA","KLGA",87
"TS","TSC","TS244","TSC244","244","YYZ","CYYZ","3","2023-06-05 19:15","GLA","EGPF",395
"TS","TSC","TS282","TSC282","282","YYZ","CYYZ","3","2023-06-05 19:15","LGW","EGKK",425
"AA","AAL","AA5030","AAL5030","5030","YYZ","CYYZ","3","2023-06-05 19:18","CLT","KCLT",122
"AC","ACA","AC1095","ACA1095","1095","YYZ","CYYZ","1","2023-06-05 19:20","SAN","KSAN",320
"WS","WJA","WS9003","WJA9003","9003","YYZ","CYYZ",NA,"2023-06-05 19:20","YVR","CYVR",317
"AC","ACA","AC724","ACA724","724","YYZ","CYYZ","1","2023-06-05 19:25","LGA","KLGA",92
"Y9","DAT","Y9522","DAT522","522","YYZ","CYYZ","1","2023-06-05 18:25","YWG","CYWG",160
"AA","AAL","AA4438","AAL4438","4438","YYZ","CYYZ","3","2023-06-05 19:29","LGA","KLGA",92
"AC","ACA","AC6740","ACA6740","6740","YYZ","CYYZ","1","2023-06-05 19:30","WAW","EPWA",500
"AC","ACA","AC872","ACA872","872","YYZ","CYYZ","1","2023-06-05 19:30","CDG","LFPG",440
"DL","DAL","DL3967","DAL3967","3967","YYZ","CYYZ","3","2023-06-05 19:09","MSP","KMSP",139
