"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"KE","KAL","KE3846","KAL3846","3846","YYZ","CYYZ","3","2023-06-07 06:00","MSP","KMSP",NA,146
"9E","EDV","9E4990","EDV4990","4990","YYZ","CYYZ","3","2023-06-07 06:00","JFK","KJFK",NA,122
"BA","BAW","BA5760","BAW5760","5760","YYZ","CYYZ","3","2023-06-07 06:04","MIA","KMIA",NA,213
"UA","UAL","UA1345","UAL1345","1345","YYZ","CYYZ","1","2023-06-07 06:10","IAH","KIAH",80,204
"WS","WJA","WS6304","WJA6304","6304","YYZ","CYYZ","3","2023-06-07 06:15","ATL","KATL",NA,139
"AC","ACA","AC1572","ACA1572","1572","YYZ","CYYZ","1","2023-06-07 06:05","YYT","CYYT",22,177
"YX","RPA","YX3607","RPA3607","3607","YYZ","CYYZ","1","2023-06-07 06:15","EWR","KEWR",NA,103
"AC","ACA","AC181","ACA181","181","YYZ","CYYZ","1","2023-06-07 06:05","YVR","CYVR",7,311
"WS","WJA","WS6351","WJA6351","6351","YYZ","CYYZ","3","2023-06-07 06:15","DTW","KDTW",2,97
"AC","ACA","AC480","ACA480","480","YYZ","CYYZ","1","2023-06-07 06:20","YUL","CYUL",NA,77
"WG","SWG","WG4063","SWG4063","4063","YYZ","CYYZ","3","2023-06-07 06:20","PUJ","MDPC",14,260
"RV","ROU","RV1670","ROU1670","1670","YYZ","CYYZ","1","2023-06-07 06:30","MCO","KMCO",NA,165
"AU","CJL","AU9826","CJL9826","9826","YYZ","CYYZ",NA,"2023-06-07 06:20","LAX","KLAX",NA,329
"AC","ACA","AC5992","ACA5992","5992","YYZ","CYYZ","1","2023-06-07 06:30","SFO","KSFO",NA,332
"ZW","AWI","ZW6225","AWI6225","6225","YYZ","CYYZ","3","2023-06-07 06:33","ORD","KORD",NA,113
"AC","ACA","AC600","ACA600","600","YYZ","CYYZ","1","2023-06-07 06:20","YHZ","CYHZ",5,125
"QK","JZA","QK8872","JZA8872","8872","YYZ","CYYZ","1","2023-06-07 06:30","EWR","KEWR",NA,90
"WS","WJA","WS653","WJA653","653","YYZ","CYYZ","3","2023-06-07 06:30","YYC","CYYC",1,253
"TS","TSC","TS3566","TSC3566","3566","YYZ","CYYZ","3","2023-06-07 06:30","SNU","MUSC",NA,230
"QK","JZA","QK8901","JZA8901","8901","YYZ","CYYZ","1","2023-06-07 06:30","ORD","KORD",4,110
"WS","WJA","WS7569","WJA7569","7569","YYZ","CYYZ","3","2023-06-07 06:47","LGA","KLGA",NA,103
"WG","SWG","WG750","SWG750","750","YYZ","CYYZ","3","2023-06-07 06:15","CUN","MMUN",25,240
"B6","JBU","B64785","JBU4785","4785","YYZ","CYYZ","3","2023-06-07 06:51","LGA","KLGA",NA,92
"AA","AAL","AA5188","AAL5188","5188","YYZ","CYYZ","3","2023-06-07 06:00","CLT","KCLT",41,126
"F8","FLE","F8643","FLE643","643","YYZ","CYYZ","3","2023-06-07 06:30","YWG","CYWG",11,160
"WG","SWG","WG732","SWG732","732","YYZ","CYYZ","3","2023-06-07 06:15","MBJ","MKJS",2,240
"TS","TSC","TS326","TSC326","326","YYZ","CYYZ","3","2023-06-07 07:00","CUN","MMUN",NA,245
"WO","WSW","WO309","WSW309","309","YYZ","CYYZ","3","2023-06-07 06:30","YXX","CYXX",5,295
"NZ","ANZ","NZ9809","ANZ9809","9809","YYZ","CYYZ","1","2023-06-07 07:00","ORD","KORD",NA,115
"AC","ACA","AC400","ACA400","400","YYZ","CYYZ","1","2023-06-07 07:00","YUL","CYUL",NA,77
"F8","FLE","F8658","FLE658","658","YYZ","CYYZ","3","2023-06-07 06:55","YHZ","CYHZ",NA,135
"AA","AAL","AA4357","AAL4357","4357","YYZ","CYYZ","3","2023-06-07 07:01","JFK","KJFK",NA,111
"AA","AAL","AA1169","AAL1169","1169","YYZ","CYYZ","3","2023-06-07 07:10","DFW","KDFW",NA,204
NA,"ASP",NA,"ASP595","595","YYZ","CYYZ",NA,"2023-06-07 06:34","MMU","KMMU",NA,87
"AC","ACA","AC440","ACA440","440","YYZ","CYYZ","1","2023-06-07 07:00","YOW","CYOW",NA,63
"F8","FLE","F8601","FLE601","601","YYZ","CYYZ","3","2023-06-07 06:55","YVR","CYVR",5,310
"AC","ACA","AC602","ACA602","602","YYZ","CYYZ","1","2023-06-07 07:00","YHZ","CYHZ",NA,125
"WO","WSW","WO360","WSW360","360","YYZ","CYYZ","3","2023-06-07 07:15","YHZ","CYHZ",11,125
"AC","ACA","AC8780","ACA8780","8780","YYZ","CYYZ","1","2023-06-07 07:20","DCA","KDCA",NA,91
"OZ","AAR","OZ6117","AAR6117","6117","YYZ","CYYZ","1","2023-06-07 07:15","YVR","CYVR",5,290
"AC","ACA","AC257","ACA257","257","YYZ","CYYZ","1","2023-06-07 07:30","YWG","CYWG",NA,160
"AC","ACA","AC133","ACA133","133","YYZ","CYYZ","1","2023-06-07 07:30","YYC","CYYC",NA,258
"AC","ACA","AC5666","ACA5666","5666","YYZ","CYYZ","1","2023-06-07 07:30","EWR","KEWR",NA,103
"PT","PDT","PT6117","PDT6117","6117","YYZ","CYYZ","3","2023-06-07 07:30","PHL","KPHL",NA,92
"WS","WJA","WS1228","WJA1228","1228","YYZ","CYYZ","3","2023-06-07 07:30","MCO","KMCO",1,164
"AC","ACA","AC8251","ACA8251","8251","YYZ","CYYZ","1","2023-06-07 07:15","YXU","CYXU",NA,43
