"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"DL","DAL","DL7138","DAL7138",7138,"YYZ","CYYZ","3","2023-06-09 09:35","LGA","KLGA",NA,90
"DL","DAL","DL7165","DAL7165",7165,"YYZ","CYYZ","3","2023-06-09 09:35","LAS","KLAS",NA,288
"QK","JZA","QK8969","JZA8969",8969,"YYZ","CYYZ","1","2023-06-09 09:40","STL","KSTL",NA,111
"QK","JZA","QK8410","JZA8410",8410,"YYZ","CYYZ","1","2023-06-09 09:25","YQX","CYQX",33,170
"AC","ACA","AC1524","ACA1524",1524,"YYZ","CYYZ","1","2023-06-09 09:15","YFC","CYFC",20,105
"AC","ACA","AC1701","ACA1701",1701,"YYZ","CYYZ","1","2023-06-09 09:30","LAS","KLAS",NA,287
"F8","FLE","F81614","FLE1614",1614,"YYZ","CYYZ","3","2023-06-09 07:45","JFK","KJFK",80,120
"CM","CMP","CM2814","CMP2814",2814,"YYZ","CYYZ","1","2023-06-09 09:00","ORD","KORD",48,115
"AC","ACA","AC1015","ACA1015",1015,"YYZ","CYYZ","1","2023-06-09 09:55","MSP","KMSP",NA,131
"AC","ACA","AC916","ACA916",916,"YYZ","CYYZ","1","2023-06-09 09:50","MIA","KMIA",NA,190
"AF","AFR","AF3747","AFR3747",3747,"YYZ","CYYZ","3","2023-06-09 10:00","YVR","CYVR",NA,309
"UA","UAL","UA8639","UAL8639",8639,"YYZ","CYYZ","1","2023-06-09 09:45","AUS","KAUS",7,209
"WS","WJA","WS7301","WJA7301",7301,"YYZ","CYYZ","3","2023-06-09 10:00","LGA","KLGA",NA,101
"AV","AVA","AV2169","AVA2169",2169,"YYZ","CYYZ","1","2023-06-09 10:00","IAD","KIAD",1,91
"AC","ACA","AC107","ACA107",107,"YYZ","CYYZ","1","2023-06-09 09:00","YVR","CYVR",42,311
