"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"AC","ACA","AC690","ACA690","690","YYZ","CYYZ","1","2023-06-08 12:35","YYT","CYYT",NA,181
"AC","ACA","AC8836","ACA8836","8836","YYZ","CYYZ","1","2023-06-08 12:35","RDU","KRDU",NA,105
"F8","FLE","F8637","FLE637","637","YYZ","CYYZ","3","2023-06-08 12:35","YEG","CYEG",NA,255
"F8","FLE","F8621","FLE621","621","YYZ","CYYZ","3","2023-06-08 12:35","YYC","CYYC",NA,255
"KE","KAL","KE74","KAL74","74","YYZ","CYYZ","3","2023-06-08 12:40","ICN","RKSI",NA,880
"YX","RPA","YX3649","RPA3649","3649","YYZ","CYYZ","1","2023-06-08 12:45","EWR","KEWR",NA,105
"6Y","ART","6Y2518","ART2518","2518","YYZ","CYYZ","3","2023-06-08 12:45","MBJ","MKJS",NA,245
"OH","JIA","OH5665","JIA5665","5665","YYZ","CYYZ","3","2023-06-08 12:47","DCA","KDCA",NA,101
"OS","AUA","OS8211","AUA8211","8211","YYZ","CYYZ","1","2023-06-08 12:50","YEG","CYEG",NA,255
"AC","ACA","AC1019","ACA1019","1019","YYZ","CYYZ","1","2023-06-08 12:50","ATL","KATL",NA,128
"AC","ACA","AC9","ACA9","9","YYZ","CYYZ","1","2023-06-08 12:55","NRT","RJAA",NA,795
"BA","BAW","BA5756","BAW5756","5756","YYZ","CYYZ","3","2023-06-08 12:57","LGA","KLGA",NA,92
"TS","TSC","TS7907","TSC7907","7907","YYZ","CYYZ","3","2023-06-08 13:00","YVR","CYVR",NA,306
"NH","ANA","NH6809","ANA6809","6809","YYZ","CYYZ","1","2023-06-08 13:05","YVR","CYVR",NA,310
"TS","TSC","TS7957","TSC7957","7957","YYZ","CYYZ","3","2023-06-08 13:05","YYC","CYYC",NA,254
"AC","ACA","AC452","ACA452","452","YYZ","CYYZ","1","2023-06-08 13:10","YOW","CYOW",NA,63
"DL","DAL","DL1771","DAL1771","1771","YYZ","CYYZ","3","2023-06-08 13:10","ATL","KATL",NA,135
"TS","TSC","TS7927","TSC7927","7927","YYZ","CYYZ","3","2023-06-08 13:10","YHZ","CYHZ",NA,125
"QR","QTR","QR9068","QTR9068","9068","YYZ","CYYZ","3","2023-06-08 13:15","ORD","KORD",NA,122
"PD","POE","PD405","POE405","405","YYZ","CYYZ","3","2023-06-08 13:15","YEG","CYEG",NA,250
"UA","UAL","UA8067","UAL8067","8067","YYZ","CYYZ","1","2023-06-08 13:20","CLE","KCLE",NA,62
"PD","POE","PD163","POE163","163","YYZ","CYYZ","3","2023-06-08 13:20","YOW","CYOW",NA,63
"AC","ACA","AC1","ACA1","1","YYZ","CYYZ","1","2023-06-08 13:25","HND","RJTT",NA,795
"MQ","ENY","MQ3993","ENY3993","3993","YYZ","CYYZ","3","2023-06-08 13:27","DFW","KDFW",NA,208
"WO","WSW","WO311","WSW311","311","YYZ","CYYZ","3","2023-06-08 13:30","YXX","CYXX",NA,295
"UA","UAL","UA8406","UAL8406","8406","YYZ","CYYZ","1","2023-06-08 13:30","LGA","KLGA",NA,92
"AC","ACA","AC7800","ACA7800","7800","YYZ","CYYZ","1","2023-06-08 13:30","YUL","CYUL",NA,70
"KE","KAL","KE6539","KAL6539","6539","YYZ","CYYZ","3","2023-06-08 13:35","YYC","CYYC",NA,254
"F8","FLE","F8645","FLE645","645","YYZ","CYYZ","3","2023-06-08 13:35","YWG","CYWG",NA,160
"F8","FLE","F8654","FLE654","654","YYZ","CYYZ","3","2023-06-08 13:40","YHZ","CYHZ",NA,135
"F8","FLE","F8661","FLE661","661","YYZ","CYYZ","3","2023-06-08 13:40","YXX","CYXX",NA,315
"RV","ROU","RV1662","ROU1662","1662","YYZ","CYYZ","1","2023-06-08 13:40","RSW","KRSW",NA,182
"WO","WSW","WO744","WSW744","744","YYZ","CYYZ","3","2023-06-08 13:45","LAS","KLAS",NA,280
"BW","BWA","BW3078","BWA3078","3078","YYZ","CYYZ","3","2023-06-08 12:45","KIN","MKJP",60,255
"EK","UAE","EK5777","UAE5777","5777","YYZ","CYYZ","1","2023-06-08 13:50","YXE","CYXE",NA,215
"RV","ROU","RV1812","ROU1812","1812","YYZ","CYYZ","1","2023-06-08 13:55","CUN","MMUN",NA,235
"EK","UAE","EK5763","UAE5763","5763","YYZ","CYYZ","1","2023-06-08 13:55","YQT","CYQT",NA,107
"PD","POE","PD2295","POE2295","2295","YYZ","CYYZ","3","2023-06-08 13:55","YUL","CYUL",NA,76
"PK","PIA","PK784","PIA784","784","YYZ","CYYZ","3","2023-06-08 13:55","KHI","OPKC",NA,840
"AC","ACA","AC608","ACA608","608","YYZ","CYYZ","1","2023-06-08 14:00","YHZ","CYHZ",NA,125
"AC","ACA","AC61","ACA61","61","YYZ","CYYZ","1","2023-06-08 14:00","ICN","RKSI",NA,870
"WS","WJA","WS715","WJA715","715","YYZ","CYYZ","3","2023-06-08 14:00","YVR","CYVR",NA,307
"AC","ACA","AC8930","ACA8930","8930","YYZ","CYYZ","1","2023-06-08 14:00","PHL","KPHL",NA,87
"AC","ACA","AC8618","ACA8618","8618","YYZ","CYYZ","1","2023-06-08 14:00","IAD","KIAD",NA,85
"AC","ACA","AC8201","ACA8201","8201","YYZ","CYYZ","1","2023-06-08 14:00","YAM","CYAM",NA,82
"AC","ACA","AC8237","ACA8237","8237","YYZ","CYYZ","1","2023-06-08 14:00","YSB","CYSB",NA,60
"AC","ACA","AC8719","ACA8719","8719","YYZ","CYYZ","1","2023-06-08 14:00","MSP","KMSP",NA,130
"AC","ACA","AC8878","ACA8878","8878","YYZ","CYYZ","1","2023-06-08 14:00","EWR","KEWR",NA,90
"AC","ACA","AC8895","ACA8895","8895","YYZ","CYYZ","1","2023-06-08 14:00","IND","KIND",NA,92
"AC","ACA","AC8909","ACA8909","8909","YYZ","CYYZ","1","2023-06-08 14:00","ORD","KORD",NA,110
"AC","ACA","AC414","ACA414","414","YYZ","CYYZ","1","2023-06-08 14:00","YUL","CYUL",NA,77
"QK","JZA","QK8773","JZA8773","8773","YYZ","CYYZ","1","2023-06-08 14:05","DTW","KDTW",NA,67
"UA","UAL","UA8599","UAL8599","8599","YYZ","CYYZ","1","2023-06-08 14:15","CVG","KCVG",NA,90
