"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"WS","WJA","WS1202","WJA1202","1202","YYZ","CYYZ","3","2023-06-07 09:35","LGA","KLGA",NA,90
"DL","DAL","DL7165","DAL7165","7165","YYZ","CYYZ","3","2023-06-07 09:35","LAS","KLAS",NA,288
"UA","UAL","UA8639","UAL8639","8639","YYZ","CYYZ","1","2023-06-07 09:45","AUS","KAUS",NA,209
"RV","ROU","RV1644","ROU1644","1644","YYZ","CYYZ","1","2023-06-07 09:50","MIA","KMIA",NA,190
"6Y","ART","6Y2186","ART2186","2186","YYZ","CYYZ","3","2023-06-07 09:00","PUJ","MDPC",NA,265
"WS","WJA","WS2644","WJA2644","2644","YYZ","CYYZ","3","2023-06-07 09:00","LIR","MRLB",48,320
"AC","ACA","AC8410","ACA8410","8410","YYZ","CYYZ","1","2023-06-07 09:25","YQX","CYQX",23,170
"AC","ACA","AC1015","ACA1015","1015","YYZ","CYYZ","1","2023-06-07 09:55","MSP","KMSP",NA,131
"9E","EDV","9E5016","EDV5016","5016","YYZ","CYYZ","3","2023-06-07 10:00","LGA","KLGA",NA,101
"AC","ACA","AC261","ACA261","261","YYZ","CYYZ","1","2023-06-07 10:00","YWG","CYWG",NA,160
"WS","WJA","WS2580","WJA2580","2580","YYZ","CYYZ","3","2023-06-07 10:00","CUN","MMUN",NA,250
"RV","ROU","RV1931","ROU1931","1931","YYZ","CYYZ","1","2023-06-07 10:00","YXE","CYXE",NA,215
"LY","ELY","LY8219","ELY8219","8219","YYZ","CYYZ","3","2023-06-07 10:01","MEX","MMMX",NA,304
"WS","WJA","WS655","WJA655","655","YYZ","CYYZ","3","2023-06-07 10:00","YYC","CYYC",NA,256
"DL","DAL","DL6966","DAL6966","6966","YYZ","CYYZ","3","2023-06-07 10:00","YVR","CYVR",NA,309
"TS","TSC","TS7943","TSC7943","7943","YYZ","CYYZ","3","2023-06-07 10:00","YEG","CYEG",3,250
"TS","TSC","TS7953","TSC7953","7953","YYZ","CYYZ","3","2023-06-07 10:05","YYC","CYYC",NA,254
"AC","ACA","AC446","ACA446","446","YYZ","CYYZ","1","2023-06-07 10:10","YOW","CYOW",NA,63
"F8","FLE","F8605","FLE605","605","YYZ","CYYZ","3","2023-06-07 10:15","YVR","CYVR",NA,310
"AC","ACA","AC109","ACA109","109","YYZ","CYYZ","1","2023-06-07 10:10","YVR","CYVR",1,310
"Y9","DAT","Y9605","DAT605","605","YYZ","CYYZ","1","2023-06-07 10:15","MCO","KMCO",NA,175
"AC","ACA","AC406","ACA406","406","YYZ","CYYZ","1","2023-06-07 10:00","YUL","CYUL",17,77
"B6","JBU","B64809","JBU4809","4809","YYZ","CYYZ","3","2023-06-07 10:26","JFK","KJFK",NA,111
"AC","ACA","AC139","ACA139","139","YYZ","CYYZ","1","2023-06-07 10:15","YYC","CYYC",5,258
"AC","ACA","AC3098","ACA3098","3098","YYZ","CYYZ","1","2023-06-07 10:32","EWR","KEWR",NA,103
"UA","UAL","UA6172","UAL6172","6172","YYZ","CYYZ","1","2023-06-07 10:00","IAD","KIAD",11,91
"AA","AAL","AA6110","AAL6110","6110","YYZ","CYYZ","3","2023-06-07 11:01","PHL","KPHL",NA,93
"UA","UAL","UA8274","UAL8274","8274","YYZ","CYYZ","1","2023-06-07 09:40","STL","KSTL",73,111
"OO","SKW","OO5490","SKW5490","5490","YYZ","CYYZ","1","2023-06-07 11:00","ORD","KORD",NA,119
"WS","WJA","WS657","WJA657","657","YYZ","CYYZ","3","2023-06-07 11:00","YYC","CYYC",NA,254
"RV","ROU","RV1901","ROU1901","1901","YYZ","CYYZ","1","2023-06-07 08:40","YYJ","CYYJ",130,307
"LA","LAN","LA5168","LAN5168","5168","YYZ","CYYZ","3","2023-06-07 11:00","LAX","KLAX",NA,309
"BA","BAW","BA5759","BAW5759","5759","YYZ","CYYZ","3","2023-06-07 10:59","LGA","KLGA",NA,92
