"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"P3",NA,"P32291",NA,"2291","YYZ","CYYZ","3","2023-06-07 07:45","YOW","CYOW",NA,63
"F8","FLE","F81614","FLE1614","1614","YYZ","CYYZ","3","2023-06-07 07:45","JFK","KJFK",NA,120
"AC","ACA","AC8301","ACA8301","8301","YYZ","CYYZ","1","2023-06-07 07:50","YQT","CYQT",NA,107
"AC","ACA","AC8949","ACA8949","8949","YYZ","CYYZ","1","2023-06-07 07:50","ATL","KATL",NA,130
"UA","UAL","UA8166","UAL8166","8166","YYZ","CYYZ","1","2023-06-07 08:00","DFW","KDFW",NA,197
"AC","ACA","AC785","ACA785","785","YYZ","CYYZ","1","2023-06-07 07:50","LAX","KLAX",NA,314
"RV","ROU","RV1810","ROU1810","1810","YYZ","CYYZ","1","2023-06-07 07:50","CUN","MMUN",NA,235
"AM","AMX","AM7131","AMX7131","7131","YYZ","CYYZ","3","2023-06-07 07:55","YYC","CYYC",NA,253
"DL","DAL","DL5231","DAL5231","5231","YYZ","CYYZ","3","2023-06-07 07:55","LGA","KLGA",NA,95
"UA","UAL","UA423","UAL423","423","YYZ","CYYZ","1","2023-06-07 07:59","DEN","KDEN",NA,221
"UA","UAL","UA8696","UAL8696","8696","YYZ","CYYZ","1","2023-06-07 08:00","SAN","KSAN",NA,320
"AC","ACA","AC8494","ACA8494","8494","YYZ","CYYZ","1","2023-06-07 07:55","YSJ","CYSJ",NA,114
"UA","UAL","UA8533","UAL8533","8533","YYZ","CYYZ","1","2023-06-07 08:00","ORD","KORD",14,110
"AC","ACA","AC1950","ACA1950","1950","YYZ","CYYZ","1","2023-06-07 08:00","YQB","CYQB",3,83
"UA","UAL","UA8515","UAL8515","8515","YYZ","CYYZ","1","2023-06-07 08:05","IND","KIND",NA,92
"RV","ROU","RV1921","ROU1921","1921","YYZ","CYYZ","1","2023-06-07 08:00","YQR","CYQR",NA,199
"WS","WJA","WS9001","WJA9001","9001","YYZ","CYYZ",NA,"2023-06-07 08:00","YYC","CYYC",NA,252
"AC","ACA","AC8427","ACA8427","8427","YYZ","CYYZ","1","2023-06-07 08:00","YTS","CYTS",3,87
"AC","ACA","AC442","ACA442","442","YYZ","CYYZ","1","2023-06-07 08:10","YOW","CYOW",NA,63
"QK","JZA","QK8353","JZA8353","8353","YYZ","CYYZ","1","2023-06-07 07:50","YQG","CYQG",18,64
"TS","TSC","TS7903","TSC7903","7903","YYZ","CYYZ","3","2023-06-07 07:35","YVR","CYVR",34,306
"RV","ROU","RV1754","ROU1754","1754","YYZ","CYYZ","1","2023-06-07 08:20","CCC","MUCC",NA,205
"UA","UAL","UA8341","UAL8341","8341","YYZ","CYYZ","1","2023-06-07 08:20","CLE","KCLE",NA,62
