"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"AC","ACA","AC9996","ACA9996","9996","LHR","EGLL","2","2023-06-06 15:35","OSL","ENGM",135
"BA","BAW","BA734","BAW734","734","LHR","EGLL","5","2023-06-06 15:35","GVA","LSGG",100
"AF","AFR","AF9280","AFR9280","9280","LHR","EGLL","3","2023-06-06 15:40","MCO","KMCO",561
"BA","BAW","BA614","BAW614","614","LHR","EGLL","5","2023-06-06 15:35","BDS","LIBR",180
"AA","AAL","AA6610","AAL6610","6610","LHR","EGLL","5","2023-06-06 15:20","BLQ","LIPE",130
"IB","IBE","IB7576","IBE7576","7576","LHR","EGLL","5","2023-06-06 14:30","EDI","EGPH",90
"AC","ACA","AC6970","ACA6970","6970","LHR","EGLL","2","2023-06-06 14:50","HAM","EDDH",90
"JL","JAL","JL7793","JAL7793","7793","LHR","EGLL","5","2023-06-06 15:10","LIS","LPPT",165
"WY","OMA","WY6432","OMA6432","6432","LHR","EGLL","4","2023-06-06 15:05","DOH","OTHH",405
"AA","AAL","AA6990","AAL6990","6990","LHR","EGLL","5","2023-06-06 15:15","SJC","KSJC",660
"AA","AAL","AA6827","AAL6827","6827","LHR","EGLL","3","2023-06-06 15:20","OSL","ENGM",130
"AA","AAL","AA6831","AAL6831","6831","LHR","EGLL","5","2023-06-06 15:30","LIN","LIML",125
"AH","DAH","AH2055","DAH2055","2055","LHR","EGLL","4","2023-06-06 15:00","ALG","DAAG",175
"AA","AAL","AA6894","AAL6894","6894","LHR","EGLL","5","2023-06-06 14:55","NCE","LFMN",125
"AM","AMX","AM6046","AMX6046","6046","LHR","EGLL","4","2023-06-06 15:40","CDG","LFPG",80
"LH","DLH","LH909","DLH909","909","LHR","EGLL","2","2023-06-06 15:30","FRA","EDDF",95
"SQ","SIA","SQ1010","SIA1010","1010","LHR","EGLL","2","2023-06-06 15:55","YYZ","CYYZ",475
"IB","IBE","IB7327","IBE7327","7327","LHR","EGLL","5","2023-06-06 15:30","PDX","KPDX",590
"WB","RWD","WB1135","RWD1135","1135","LHR","EGLL","4","2023-06-06 16:00","DOH","OTHH",405
"EI","EIN","EI8330","EIN8330","8330","LHR","EGLL","5","2023-06-06 15:10","DUB","EIDW",90
"OS","AUA","OS7797","AUA7797","7797","LHR","EGLL","2","2023-06-06 16:00","EWR","KEWR",490
"IB","IBE","IB7577","IBE7577","7577","LHR","EGLL","5","2023-06-06 16:00","EDI","EGPH",85
"QR","QTR","QR9685","QTR9685","9685","LHR","EGLL","3","2023-06-06 15:00","VLC","LEVC",145
"LA","LAN","LA1542","LAN1542","1542","LHR","EGLL","5","2023-06-06 15:50","MAD","LEMD",150
"QR","QTR","QR5988","QTR5988","5988","LHR","EGLL","5","2023-06-06 16:05","AMS","EHAM",80
"VS","VIR","VS129","VIR129","129","LHR","EGLL","3","2023-06-06 16:05","TPA","KTPA",590
"BA","BAW","BA277","BAW277","277","LHR","EGLL","5","2023-06-06 15:00","HYD","VOHS",585
"IB","IBE","IB7417","IBE7417","7417","LHR","EGLL","5","2023-06-06 15:20","MEX","MMMX",685
"QR","QTR","QR6217","QTR6217","6217","LHR","EGLL","3","2023-06-06 15:50","BDA","TXKF",435
"UL","ALK","UL3240","ALK3240","3240","LHR","EGLL","3","2023-06-06 16:10","HEL","EFHK",170
"AA","AAL","AA6466","AAL6466","6466","LHR","EGLL","5","2023-06-06 15:30","DUS","EDDL",85
"AY","FIN","AY5459","FIN5459","5459","LHR","EGLL","5","2023-06-06 15:45","LAX","KLAX",670
"AA","AAL","AA6526","AAL6526","6526","LHR","EGLL","5","2023-06-06 16:10","VCE","LIPZ",140
"BA","BAW","BA606","BAW606","606","LHR","EGLL","5","2023-06-06 16:10","PSA","LIRP",135
"VS","VIR","VS4096","VIR4096","4096","LHR","EGLL","3","2023-06-06 16:20","LAX","KLAX",695
"SQ","SIA","SQ2533","SIA2533","2533","LHR","EGLL","3","2023-06-06 16:25","JFK","KJFK",465
"QR","QTR","QR5931","QTR5931","5931","LHR","EGLL","5","2023-06-06 15:50","PMI","LEPA",145
"IB","IBE","IB7532","IBE7532","7532","LHR","EGLL","5","2023-06-06 16:15","ABZ","EGPD",95
"AY","FIN","AY5513","FIN5513","5513","LHR","EGLL","5","2023-06-06 16:20","JFK","KJFK",480
"AA","AAL","AA6729","AAL6729","6729","LHR","EGLL","5","2023-06-06 15:05","MUC","EDDM",125
"RO","ROT","RO392","ROT392","392","LHR","EGLL","4","2023-06-06 14:50","OTP","LROP",200
"IB","IBE","IB7363","IBE7363","7363","LHR","EGLL","5","2023-06-06 16:05","CVG","KCVG",520
"IB","IBE","IB7565","IBE7565","7565","LHR","EGLL","5","2023-06-06 15:35","BHD","EGAC",85
"VS","VIR","VS155","VIR155","155","LHR","EGLL","3","2023-06-06 16:30","LAS","KLAS",640
"AA","AAL","AA6447","AAL6447","6447","LHR","EGLL","5","2023-06-06 16:05","BER","EDDB",115
"AY","FIN","AY554","FIN554","554","LHR","EGLL","5","2023-06-06 16:20","FCO","LIRF",160
"LH","DLH","LH9342","DLH9342","9342","LHR","EGLL","2","2023-06-06 16:15","LAX","KLAX",665
"A3","AEE","A3603","AEE603","603","LHR","EGLL","2","2023-06-06 16:35","ATH","LGAV",215
"LM","LOG","LM656","LOG656","656","LHR","EGLL","2","2023-06-06 16:15","LDY","EGAE",85
"SV","SVA","SV112","SVA112","112","LHR","EGLL","4","2023-06-06 16:50","JED","OEJN",370
"AC","ACA","AC5351","ACA5351","5351","LHR","EGLL","2","2023-06-06 16:40","IAD","KIAD",505
"EI","EIN","EI8927","EIN8927","8927","LHR","EGLL","5","2023-06-06 16:10","ATL","KATL",555
"AA","AAL","AA7006","AAL7006","7006","LHR","EGLL","5","2023-06-06 15:35","ORD","KORD",520
"BA","BAW","BA398","BAW398","398","LHR","EGLL","5","2023-06-06 16:30","BRU","EBBR",70
"SV","SVA","SV122","SVA122","122","LHR","EGLL","4","2023-06-06 16:15","RUH","OERK",405
"HY","UZB","HY202","UZB202","202","LHR","EGLL","4","2023-06-06 16:20","TAS","UTTT",410
"KU","KAC","KU102","KAC102","102","LHR","EGLL","4","2023-06-06 16:45","KWI","OKBK",355
"AY","FIN","AY4071","FIN4071","4071","LHR","EGLL","3","2023-06-06 16:55","CLT","KCLT",515
"AY","FIN","AY842","FIN842","842","LHR","EGLL","5","2023-06-06 14:55","SPU","LDSP",160
"AA","AAL","AA8047","AAL8047","8047","LHR","EGLL","2","2023-06-06 16:50","DUB","EIDW",85
"QR","QTR","QR5954","QTR5954","5954","LHR","EGLL","5","2023-06-06 15:40","HAM","EDDH",100
"IB","IBE","IB7435","IBE7435","7435","LHR","EGLL","5","2023-06-06 16:50","LAS","KLAS",640
"GA","GIA","GA8863","GIA8863","8863","LHR","EGLL","3","2023-06-06 16:50","DXB","OMDB",415
"OU","CTN","OU5487","CTN5487","5487","LHR","EGLL","2","2023-06-06 16:30","FRA","EDDF",95
"AA","AAL","AA6722","AAL6722","6722","LHR","EGLL","3","2023-06-06 16:30","BLL","EKBI",100
"B6","JBU","B64467","JBU4467","4467","LHR","EGLL","3","2023-06-06 17:00","JFK","KJFK",469
"SQ","SIA","SQ2646","SIA2646","2646","LHR","EGLL","2","2023-06-06 17:00","CPH","EKCH",110
"UA","UAL","UA6921","UAL6921","6921","LHR","EGLL","2","2023-06-06 16:40","IST","LTFM",230
"AY","FIN","AY5955","FIN5955","5955","LHR","EGLL","5","2023-06-06 16:40","GLA","EGPF",85
"AY","FIN","AY5437","FIN5437","5437","LHR","EGLL","5","2023-06-06 16:00","MSY","KMSY",590
"AY","FIN","AY5421","FIN5421","5421","LHR","EGLL","5","2023-06-06 16:55","PIT","KPIT",480
"AA","AAL","AA6580","AAL6580","6580","LHR","EGLL","5","2023-06-06 16:15","NCE","LFMN",125
"FB","LZB","FB1708","LZB1708","1708","LHR","EGLL","4","2023-06-06 16:55","FCO","LIRF",160
"RJ","RJA","RJ112","RJA112","112","LHR","EGLL","3","2023-06-06 17:05","AMM","OJAI",305
"AA","AAL","AA6498","AAL6498","6498","LHR","EGLL","5","2023-06-06 16:40","FRA","EDDF",100
"CX","CPA","CX238","CPA238","238","LHR","EGLL","3","2023-06-06 17:00","HKG","VHHH",735
"AA","AAL","AA6696","AAL6696","6696","LHR","EGLL","5","2023-06-06 17:10","EDI","EGPH",85
"G3","GLO","G35637","GLO5637","5637","LHR","EGLL","4","2023-06-06 17:10","AMS","EHAM",85
"BA","BAW","BA203","BAW203","203","LHR","EGLL","5","2023-06-06 17:05","BOS","KBOS",455
"AA","AAL","AA7027","AAL7027","7027","LHR","EGLL","5","2023-06-06 17:05","TLV","LLBG",290
