"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"AY","FIN","AY4228","FIN4228","4228","LHR","EGLL","3","2023-06-07 14:40","MIA","KMIA",NA,566
"AC","ACA","AC6946","ACA6946","6946","LHR","EGLL","2","2023-06-07 14:35","STR","EDDS",NA,95
"UA","UAL","UA949","UAL949","949","LHR","EGLL","2","2023-06-07 12:20","SFO","KSFO",115,660
"AA","AAL","AA6796","AAL6796","6796","LHR","EGLL","5","2023-06-07 14:30","TLS","LFBO",NA,110
"BA","BAW","BA1530","BAW1530","1530","LHR","EGLL","3","2023-06-07 14:05","DFW","KDFW",30,610
"KL","KLM","KL4822","KLM4822","4822","LHR","EGLL","3","2023-06-07 14:40","JFK","KJFK",NA,485
"IB","IBE","IB7392","IBE7392","7392","LHR","EGLL","5","2023-06-07 14:35","IAH","KIAH",4,615
"AC","ACA","AC6952","ACA6952","6952","LHR","EGLL","2","2023-06-07 14:45","CGN","EDDK",NA,80
"EI","EIN","EI8989","EIN8989","8989","LHR","EGLL","5","2023-06-07 14:40","PHX","KPHX",2,650
"QR","QTR","QR5977","QTR5977","5977","LHR","EGLL","5","2023-06-07 14:30","NCL","EGNT",9,75
"XY","KNE","XY3020","KNE3020","3020","LHR","EGLL","4","2023-06-07 14:50","AUH","OMAA",NA,410
"UA","UAL","UA263","UAL263","263","LHR","EGLL","2","2023-06-07 14:50","DEN","KDEN",NA,580
"AA","AAL","AA6727","AAL6727","6727","LHR","EGLL","5","2023-06-07 14:20","VCE","LIPZ",29,130
"BA","BAW","BA115","BAW115","115","LHR","EGLL","5","2023-06-07 14:35","JFK","KJFK",16,475
"AY","FIN","AY5413","FIN5413","5413","LHR","EGLL","5","2023-06-07 14:40","BOS","KBOS",11,440
"QF","QFA","QF8002","QFA8002","8002","LHR","EGLL","3","2023-06-07 14:20","DXB","OMDB",32,420
"GA","GIA","GA9079","GIA9079","9079","LHR","EGLL","4","2023-06-07 14:45","AMS","EHAM",9,75
"BA","BAW","BA119","BAW119","119","LHR","EGLL","5","2023-06-07 14:15","BLR","VOBL",40,600
"AA","AAL","AA6643","AAL6643","6643","LHR","EGLL","3","2023-06-07 14:40","VIE","LOWW",23,145
"AC","ACA","AC6970","ACA6970","6970","LHR","EGLL","2","2023-06-07 14:50","HAM","EDDH",9,90
"RO","ROT","RO392","ROT392","392","LHR","EGLL","4","2023-06-07 14:50","OTP","LROP",10,200
"KL","KLM","KL6116","KLM6116","6116","LHR","EGLL","3","2023-06-07 15:10","SLC","KSLC",NA,630
"BA","BAW","BA424","BAW424","424","LHR","EGLL","5","2023-06-07 14:15","NAP","LIRN",41,170
"AA","AAL","AA6667","AAL6667","6667","LHR","EGLL","5","2023-06-07 15:00","HYD","VOHS",1,585
"AY","FIN","AY4015","FIN4015","4015","LHR","EGLL","3","2023-06-07 15:15","JFK","KJFK",NA,469
"BA","BAW","BA354","BAW354","354","LHR","EGLL","5","2023-06-07 14:25","NCE","LFMN",69,125
"AC","ACA","AC2850","ACA2850","2850","LHR","EGLL","2","2023-06-07 15:00","CAI","HECA",10,280
"AA","AAL","AA6818","AAL6818","6818","LHR","EGLL","5","2023-06-07 14:35","BCN","LEBL",35,125
"IB","IBE","IB7758","IBE7758","7758","LHR","EGLL","5","2023-06-07 15:05","BNA","KBNA",6,540
"AA","AAL","AA8061","AAL8061","8061","LHR","EGLL","2","2023-06-07 14:45","SNN","EINN",28,85
"UL","ALK","UL2861","ALK2861","2861","LHR","EGLL","2","2023-06-07 14:10","YVR","CYVR",69,575
"BA","BAW","BA1448","BAW1448","1448","LHR","EGLL","5","2023-06-07 15:15","EDI","EGPH",NA,85
"OS","AUA","OS462","AUA462","462","LHR","EGLL","2","2023-06-07 15:05","VIE","LOWW",24,135
"BA","BAW","BA5931","BAW5931","5931","LHR","EGLL","2","2023-06-07 15:10","DUB","EIDW",8,85
"AF","AFR","AF3586","AFR3586","3586","LHR","EGLL","3","2023-06-07 15:25","SEA","KSEA",NA,630
"WY","OMA","WY6432","OMA6432","6432","LHR","EGLL","4","2023-06-07 15:05","DOH","OTHH",15,405
"SN","BEL","SN9085","BEL9085","9085","LHR","EGLL","2","2023-06-07 15:20","ORD","KORD",NA,535
"AA","AAL","AA6990","AAL6990","6990","LHR","EGLL","5","2023-06-07 15:15","SJC","KSJC",10,660
"AA","AAL","AA6520","AAL6520","6520","LHR","EGLL","5","2023-06-07 15:05","MXP","LIMC",29,120
"AA","AAL","AA6729","AAL6729","6729","LHR","EGLL","5","2023-06-07 15:00","MUC","EDDM",21,125
"SL","SZS","SL806","SZS806","806","LHR","EGLL","2","2023-06-07 15:35","OSL","ENGM",10,135
"AA","AAL","AA6422","AAL6422","6422","LHR","EGLL","5","2023-06-07 15:15","DUS","EDDL",18,85
"AA","AAL","AA8396","AAL8396","8396","LHR","EGLL","4","2023-06-07 15:15","TLV","LLBG",18,285
"VS","VIR","VS135","VIR135","135","LHR","EGLL","3","2023-06-07 15:40","MCO","KMCO",NA,561
