"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"OS","AUA","OS8227","AUA8227","8227","LHR","EGLL","2","2023-06-09 08:30","YYZ","CYYZ",NA,465
"S4","RZO","S48609","RZO8609","8609","LHR","EGLL","2","2023-06-09 08:00","LIS","LPPT",34,160
"BA","BAW","BA310","BAW310","310","LHR","EGLL","3","2023-06-09 07:55","ALG","DAAG",35,175
"MF","CXA","MF9302","CXA9302","9302","LHR","EGLL","4","2023-06-09 08:40","AMS","EHAM",NA,80
"BA","BAW","BA416","BAW416","416","LHR","EGLL","3","2023-06-09 08:25","LUX","ELLX",13,80
"JL","JAL","JL6549","JAL6549","6549","LHR","EGLL","5","2023-06-09 08:40","BER","EDDB",NA,115
"JL","JAL","JL6507","JAL6507","6507","LHR","EGLL","5","2023-06-09 08:45","ABZ","EGPD",NA,95
"BA","BAW","BA828","BAW828","828","LHR","EGLL","5","2023-06-09 08:35","DUB","EIDW",10,85
"BA","BAW","BA604","BAW604","604","LHR","EGLL","5","2023-06-09 08:45","PSA","LIRP",4,130
"AC","ACA","AC6818","ACA6818","6818","LHR","EGLL","2","2023-06-09 08:40","ZRH","LSZH",12,115
"VS","VIR","VS6083","VIR6083","6083","LHR","EGLL","4","2023-06-09 08:55","NCE","LFMN",NA,120
"VS","VIR","VS457","VIR457","457","LHR","EGLL","3","2023-06-09 08:20","TLV","LLBG",35,320
"BA","BAW","BA790","BAW790","790","LHR","EGLL","3","2023-06-09 09:00","GOT","ESGG",NA,120
"BA","BAW","BA4002","BAW4002","4002","LHR","EGLL","2","2023-06-09 08:45","LDY","EGAE",12,85
"EI","EIN","EI153","EIN153","153","LHR","EGLL","2","2023-06-09 08:50","DUB","EIDW",9,85
"QR","QTR","QR9764","QTR9764","9764","LHR","EGLL","3","2023-06-09 08:35","NUE","EDDN",27,105
"LH","DLH","LH5341","DLH5341","5341","LHR","EGLL","2","2023-06-09 08:45","HAM","EDDH",15,90
"BA","BAW","BA7006","BAW7006","7006","LHR","EGLL","4","2023-06-09 08:30","DOH","OTHH",12,400
"LY","ELY","LY8019","ELY8019","8019","LHR","EGLL","3","2023-06-09 09:15","ORD","KORD",NA,515
"MH","MAS","MH9666","MAS9666","9666","LHR","EGLL","5","2023-06-09 08:45","CDG","LFPG",21,75
"JL","JAL","JL6509","JAL6509","6509","LHR","EGLL","5","2023-06-09 08:55","MAN","EGCC",12,65
"AF","AFR","AF1681","AFR1681","1681","LHR","EGLL","4","2023-06-09 09:00","CDG","LFPG",8,80
"DL","DAL","DL11","DAL11","11","LHR","EGLL","3","2023-06-09 09:20","MSP","KMSP",NA,530
"IB","IBE","IB3163","IBE3163","3163","LHR","EGLL","5","2023-06-09 09:15","MAD","LEMD",NA,150
"AC","ACA","AC6948","ACA6948","6948","LHR","EGLL","2","2023-06-09 08:50","CGN","EDDK",21,80
"OS","AUA","OS452","AUA452","452","LHR","EGLL","2","2023-06-09 09:05","VIE","LOWW",4,135
"LX","SWR","LX353","SWR353","353","LHR","EGLL","2","2023-06-09 08:55","GVA","LSGG",17,95
"AF","AFR","AF6752","AFR6752","6752","LHR","EGLL","3","2023-06-09 09:20","JFK","KJFK",NA,465
"AA","AAL","AA6495","AAL6495","6495","LHR","EGLL","5","2023-06-09 09:00","EDI","EGPH",13,85
"SQ","SIA","SQ305","SIA305","305","LHR","EGLL","2","2023-06-09 09:10","SIN","WSSS",5,800
"AA","AAL","AA51","AAL51","51","LHR","EGLL","3","2023-06-09 08:40","DFW","KDFW",39,605
"BA","BAW","BA1476","BAW1476","1476","LHR","EGLL","5","2023-06-09 09:15","GLA","EGPF",5,90
"QF","QFA","QF8008","QFA8008","8008","LHR","EGLL","3","2023-06-09 09:05","DXB","OMDB",15,425
"AY","FIN","AY5891","FIN5891","5891","LHR","EGLL","5","2023-06-09 09:05","BCN","LEBL",20,135
"AA","AAL","AA21","AAL21","21","LHR","EGLL","3","2023-06-09 09:30","DFW","KDFW",NA,610
"BA","BAW","BA7","BAW7","7","LHR","EGLL","5","2023-06-09 09:35","HND","RJTT",NA,815
"AC","ACA","AC867","ACA867","867","LHR","EGLL","2","2023-06-09 09:30","YUL","CYUL",NA,430
"AI","AIC","AI162","AIC162","162","LHR","EGLL","2","2023-06-09 09:45","DEL","VIDP",NA,515
