"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"SQ","SIA","SQ2537","SIA2537","2537","LHR","EGLL","3","2023-06-07 12:45","LAX","KLAX",NA,670
"VS","VIR","VS165","VIR165","165","LHR","EGLL","3","2023-06-07 12:45","MBJ","MKJS",27,585
"AY","FIN","AY5469","FIN5469","5469","LHR","EGLL","5","2023-06-07 11:40","LAX","KLAX",29,675
"AA","AAL","AA6669","AAL6669","6669","LHR","EGLL","5","2023-06-07 12:45","MAA","VOMM",3,615
"LX","SWR","LX3044","SWR3044","3044","LHR","EGLL","2","2023-06-07 13:05","ORD","KORD",NA,535
"AC","ACA","AC869","ACA869","869","LHR","EGLL","2","2023-06-07 12:40","YHZ","CYHZ",12,410
"BA","BAW","BA470","BAW470","470","LHR","EGLL","5","2023-06-07 12:45","VCE","LIPZ",10,140
"AI","AIC","AI128","AIC128","128","LHR","EGLL","2","2023-06-07 12:30","BOM","VABB",NA,530
"AA","AAL","AA737","AAL737","737","LHR","EGLL","3","2023-06-07 13:00","PHL","KPHL",NA,473
"AC","ACA","AC6830","ACA6830","6830","LHR","EGLL","2","2023-06-07 12:05","ZRH","LSZH",48,100
"AA","AAL","AA6545","AAL6545","6545","LHR","EGLL","5","2023-06-07 12:40","MUC","EDDM",32,115
"BA","BAW","BA518","BAW518","518","LHR","EGLL","5","2023-06-07 12:50","LIS","LPPT",9,165
"AA","AAL","AA6629","AAL6629","6629","LHR","EGLL","3","2023-06-07 13:00","OSL","ENGM",NA,130
"UA","UAL","UA147","UAL147","147","LHR","EGLL","2","2023-06-07 13:00","EWR","KEWR",NA,490
"BA","BAW","BA818","BAW818","818","LHR","EGLL","5","2023-06-07 12:50","CPH","EKCH",12,115
"AY","FIN","AY5477","FIN5477","5477","LHR","EGLL","5","2023-06-07 13:10","JFK","KJFK",NA,470
"IB","IBE","IB7462","IBE7462","7462","LHR","EGLL","5","2023-06-07 13:05","MAD","LEMD",NA,145
"BA","BAW","BA193","BAW193","193","LHR","EGLL","5","2023-06-07 12:50","DFW","KDFW",16,600
"BA","BAW","BA81","BAW81","81","LHR","EGLL","5","2023-06-07 12:45","ACC","DGAA",24,400
"TG","THA","TG911","THA911","911","LHR","EGLL","2","2023-06-07 12:30","BKK","VTBS",NA,690
"AA","AAL","AA6553","AAL6553","6553","LHR","EGLL","5","2023-06-07 12:55","IST","LTFM",16,250
"EI","EIN","EI8807","EIN8807","8807","LHR","EGLL","5","2023-06-07 12:55","DXB","OMDB",20,430
"IB","IBE","IB7728","IBE7728","7728","LHR","EGLL","5","2023-06-07 13:10","INV","EGPE",6,100
"AA","AAL","AA6896","AAL6896","6896","LHR","EGLL","5","2023-06-07 12:50","AMS","EHAM",28,85
"BA","BAW","BA860","BAW860","860","LHR","EGLL","3","2023-06-07 13:20","PRG","LKPR",2,120
"MH","MAS","MH9828","MAS9828","9828","LHR","EGLL","5","2023-06-07 12:55","EDI","EGPH",28,85
"FI","ICE","FI451","ICE451","451","LHR","EGLL","2","2023-06-07 13:05","KEF","BIKF",NA,190
"BA","BAW","BA5963","BAW5963","5963","LHR","EGLL","2","2023-06-07 13:25","DUB","EIDW",NA,85
"QR","QTR","QR5883","QTR5883","5883","LHR","EGLL","5","2023-06-07 13:15","YYZ","CYYZ",11,460
"BA","BAW","BA780","BAW780","780","LHR","EGLL","5","2023-06-07 13:20","ARN","ESSA",7,155
"QR","QTR","QR9736","QTR9736","9736","LHR","EGLL","5","2023-06-07 13:10","HAJ","EDDV",20,95
"VS","VIR","VS4039","VIR4039","4039","LHR","EGLL","3","2023-06-07 12:55","DTW","KDTW",35,505
"BA","BAW","BA75","BAW75","75","LHR","EGLL","5","2023-06-07 11:20","LOS","DNMM",113,395
"BA","BAW","BA632","BAW632","632","LHR","EGLL","5","2023-06-07 13:25","ATH","LGAV",5,225
"BA","BAW","BA5","BAW5","5","LHR","EGLL","5","2023-06-07 13:20","HND","RJTT",11,815
"MH","MAS","MH9904","MAS9904","9904","LHR","EGLL","5","2023-06-07 13:15","BER","EDDB",18,110
"VS","VIR","VS8202","VIR8202","8202","LHR","EGLL","3","2023-06-07 13:00","BEY","OLBA",NA,275
"QF","QFA","QF3559","QFA3559","3559","LHR","EGLL","5","2023-06-07 13:30","BHD","EGAC",5,85
"BA","BAW","BA908","BAW908","908","LHR","EGLL","5","2023-06-07 13:35","FRA","EDDF",NA,105
"IB","IBE","IB7530","IBE7530","7530","LHR","EGLL","5","2023-06-07 13:45","ABZ","EGPD",NA,95
"BA","BAW","BA690","BAW690","690","LHR","EGLL","3","2023-06-07 13:35","LJU","LJLJ",2,135
"LO","LOT","LO4503","LOT4503","4503","LHR","EGLL","2","2023-06-07 13:15","DEL","VIDP",NA,505
"AC","ACA","AC5931","ACA5931","5931","LHR","EGLL","2","2023-06-07 13:40","IAH","KIAH",3,610
"BA","BAW","BA732","BAW732","732","LHR","EGLL","5","2023-06-07 13:15","GVA","LSGG",29,100
"VS","VIR","VS250","VIR250","250","LHR","EGLL","3","2023-06-07 13:45","PVG","ZSPD",NA,760
"OU","CTN","OU5483","CTN5483","5483","LHR","EGLL","2","2023-06-07 13:30","FRA","EDDF",19,95
"BA","BAW","BA842","BAW842","842","LHR","EGLL","5","2023-06-07 13:40","SPU","LDSP",9,160
"AY","FIN","AY5467","FIN5467","5467","LHR","EGLL","5","2023-06-07 13:40","PHL","KPHL",13,475
"VS","VIR","VS45","VIR45","45","LHR","EGLL","3","2023-06-07 13:20","JFK","KJFK",34,485
"JU","ASL","JU381","ASL381","381","LHR","EGLL","4","2023-06-07 13:30","BEG","LYBE",NA,160
"UA","UAL","UA7645","UAL7645","7645","LHR","EGLL","2","2023-06-07 13:50","ORK","EICK",10,80
"BA","BAW","BA556","BAW556","556","LHR","EGLL","5","2023-06-07 13:50","FCO","LIRF",10,160
"BA","BAW","BA273","BAW273","273","LHR","EGLL","5","2023-06-07 13:50","SAN","KSAN",13,675
"VS","VIR","VS4009","VIR4009","4009","LHR","EGLL","3","2023-06-07 13:55","ATL","KATL",9,575
"IB","IBE","IB7427","IBE7427","7427","LHR","EGLL","5","2023-06-07 14:05","RUH","OERK",11,400
"BA","BAW","BA874","BAW874","874","LHR","EGLL","3","2023-06-07 14:00","BUD","LHBP",6,150
"LH","DLH","LH8572","DLH8572","8572","LHR","EGLL","2","2023-06-07 14:10","SFO","KSFO",NA,655
"WS","WJA","WS19","WJA19","19","LHR","EGLL","4","2023-06-07 14:10","YYC","CYYC",9,525
"ME","MEA","ME4507","MEA4507","4507","LHR","EGLL","2","2023-06-07 14:05","YUL","CYUL",5,430
"QR","QTR","QR6246","QTR6246","6246","LHR","EGLL","5","2023-06-07 14:00","MAN","EGCC",10,65
"IB","IBE","IB7464","IBE7464","7464","LHR","EGLL","5","2023-06-07 14:10","MAD","LEMD",2,145
"SK","SAS","SK532","SAS532","532","LHR","EGLL","2","2023-06-07 13:55","ARN","ESSA",NA,150
"IB","IBE","IB7361","IBE7361","7361","LHR","EGLL","3","2023-06-07 14:00","BAH","OBBI",13,385
"S4","RZO","S48603","RZO8603","8603","LHR","EGLL","2","2023-06-07 13:45","LIS","LPPT",29,160
"BA","BAW","BA7810","BAW7810","7810","LHR","EGLL","2","2023-06-07 14:15","IOM","EGNS",NA,85
"QF","QFA","QF3517","QFA3517","3517","LHR","EGLL","3","2023-06-07 14:00","MRS","LFML",16,110
"AY","FIN","AY5789","FIN5789","5789","LHR","EGLL","3","2023-06-07 14:25","ORD","KORD",NA,510
"MH","MAS","MH9826","MAS9826","9826","LHR","EGLL","5","2023-06-07 14:15","EDI","EGPH",5,85
"QF","QFA","QF8002","QFA8002","8002","LHR","EGLL","3","2023-06-07 14:20","DXB","OMDB",NA,420
"UA","UAL","UA9759","UAL9759","9759","LHR","EGLL","2","2023-06-07 13:45","ZRH","LSZH",20,105
"AY","FIN","AY4087","FIN4087","4087","LHR","EGLL","3","2023-06-07 14:10","SEA","KSEA",30,600
"NZ","ANZ","NZ9855","ANZ9855","9855","LHR","EGLL","2","2023-06-07 12:20","SFO","KSFO",104,660
"LH","DLH","LH2475","DLH2475","2475","LHR","EGLL","2","2023-06-07 13:35","MUC","EDDM",22,110
"BA","BAW","BA374","BAW374","374","LHR","EGLL","5","2023-06-07 14:30","TLS","LFBO",3,110
"UA","UAL","UA9739","UAL9739","9739","LHR","EGLL","2","2023-06-07 14:25","GVA","LSGG",NA,100
"BA","BAW","BA354","BAW354","354","LHR","EGLL","5","2023-06-07 14:25","NCE","LFMN",NA,125
"BA","BAW","BA362","BAW362","362","LHR","EGLL","5","2023-06-07 14:25","LYS","LFLL",NA,100
"UA","UAL","UA9637","UAL9637","9637","LHR","EGLL","2","2023-06-07 14:35","STR","EDDS",NA,95
"AY","FIN","AY5497","FIN5497","5497","LHR","EGLL","5","2023-06-07 14:35","IAH","KIAH",NA,615
"AY","FIN","AY5527","FIN5527","5527","LHR","EGLL","5","2023-06-07 14:05","SFO","KSFO",5,665
"AY","FIN","AY4228","FIN4228","4228","LHR","EGLL","3","2023-06-07 14:40","MIA","KMIA",NA,566
"BA","BAW","BA289","BAW289","289","LHR","EGLL","5","2023-06-07 14:40","PHX","KPHX",NA,650
"BA","BAW","BA432","BAW432","432","LHR","EGLL","5","2023-06-07 14:30","AMS","EHAM",NA,80
"BA","BAW","BA5965","BAW5965","5965","LHR","EGLL","2","2023-06-07 14:20","DUB","EIDW",10,85
"AA","AAL","AA6727","AAL6727","6727","LHR","EGLL","5","2023-06-07 14:20","VCE","LIPZ",12,130
"AA","AAL","AA6643","AAL6643","6643","LHR","EGLL","3","2023-06-07 14:40","VIE","LOWW",NA,145
"EI","EIN","EI8815","EIN8815","8815","LHR","EGLL","5","2023-06-07 14:35","JFK","KJFK",NA,475
"BA","BAW","BA1334","BAW1334","1334","LHR","EGLL","5","2023-06-07 14:30","NCL","EGNT",NA,75
"IB","IBE","IB7401","IBE7401","7401","LHR","EGLL","5","2023-06-07 14:40","BOS","KBOS",NA,440
"IB","IBE","IB7357","IBE7357","7357","LHR","EGLL","5","2023-06-07 14:15","BLR","VOBL",25,600
"DL","DAL","DL5993","DAL5993","5993","LHR","EGLL","3","2023-06-07 14:40","JFK","KJFK",NA,485
"BA","BAW","BA424","BAW424","424","LHR","EGLL","5","2023-06-07 14:15","NAP","LIRN",55,170
"AC","ACA","AC6952","ACA6952","6952","LHR","EGLL","2","2023-06-07 14:45","CGN","EDDK",NA,80
"MF","CXA","MF9748","CXA9748","9748","LHR","EGLL","4","2023-06-07 14:45","AMS","EHAM",NA,75
"AC","ACA","AC6919","ACA6919","6919","LHR","EGLL","2","2023-06-07 14:45","SNN","EINN",NA,85
"GF","GFA","GF6513","GFA6513","6513","LHR","EGLL","3","2023-06-07 14:05","DFW","KDFW",40,610
"IB","IBE","IB7481","IBE7481","7481","LHR","EGLL","5","2023-06-07 14:35","BCN","LEBL",12,125
"AC","ACA","AC6970","ACA6970","6970","LHR","EGLL","2","2023-06-07 14:50","HAM","EDDH",NA,90
"NZ","ANZ","NZ4290","ANZ4290","4290","LHR","EGLL","4","2023-06-07 14:50","AUH","OMAA",NA,410
"EI","EIN","EI8919","EIN8919","8919","LHR","EGLL","5","2023-06-07 14:50","DEN","KDEN",NA,590
"RO","ROT","RO392","ROT392","392","LHR","EGLL","4","2023-06-07 14:50","OTP","LROP",NA,200
"AA","AAL","AA6729","AAL6729","6729","LHR","EGLL","5","2023-06-07 15:00","MUC","EDDM",NA,125
"AC","ACA","AC2850","ACA2850","2850","LHR","EGLL","2","2023-06-07 15:00","CAI","HECA",NA,280
"AA","AAL","AA6974","AAL6974","6974","LHR","EGLL","5","2023-06-07 15:05","BNA","KBNA",NA,540
"AA","AAL","AA7043","AAL7043","7043","LHR","EGLL","5","2023-06-07 15:00","OPO","LPPR",NA,140
"AA","AAL","AA6891","AAL6891","6891","LHR","EGLL","5","2023-06-07 15:00","CDG","LFPG",NA,80
"BA","BAW","BA277","BAW277","277","LHR","EGLL","5","2023-06-07 15:00","HYD","VOHS",NA,585
"AA","AAL","AA6990","AAL6990","6990","LHR","EGLL","5","2023-06-07 15:15","SJC","KSJC",NA,660
"AC","ACA","AC6184","ACA6184","6184","LHR","EGLL","2","2023-06-07 15:05","VIE","LOWW",NA,135
"WY","OMA","WY6432","OMA6432","6432","LHR","EGLL","4","2023-06-07 15:05","DOH","OTHH",NA,405
"OS","AUA","OS8383","AUA8383","8383","LHR","EGLL","2","2023-06-07 14:10","YVR","CYVR",69,575
"BA","BAW","BA830","BAW830","830","LHR","EGLL","5","2023-06-07 15:10","DUB","EIDW",NA,90
"BA","BAW","BA502","BAW502","502","LHR","EGLL","5","2023-06-07 15:10","LIS","LPPT",NA,165
"BA","BAW","BA566","BAW566","566","LHR","EGLL","5","2023-06-07 15:05","MXP","LIMC",5,120
