"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"IB","IBE","IB7361","IBE7361",7361,"LHR","EGLL","3","2023-06-09 14:00","BAH","OBBI",38,385
"TP","TAP","TP1359","TAP1359",1359,"LHR","EGLL","2","2023-06-09 13:45","LIS","LPPT",45,160
"AA","AAL","AA6627","AAL6627",6627,"LHR","EGLL","5","2023-06-09 14:15","MAN","EGCC",9,65
"BA","BAW","BA462","BAW462",462,"LHR","EGLL","5","2023-06-09 14:15","MAD","LEMD",NA,145
"BA","BAW","BA1525","BAW1525",1525,"LHR","EGLL","3","2023-06-09 14:40","MIA","KMIA",NA,566
"EI","EIN","EI165","EIN165",165,"LHR","EGLL","2","2023-06-09 14:20","DUB","EIDW",1,85
"IB","IBE","IB7392","IBE7392",7392,"LHR","EGLL","5","2023-06-09 14:35","IAH","KIAH",NA,615
"IB","IBE","IB7353","IBE7353",7353,"LHR","EGLL","5","2023-06-09 14:35","JFK","KJFK",NA,475
"AY","FIN","AY5910","FIN5910",5910,"LHR","EGLL","5","2023-06-09 13:40","CPH","EKCH",50,115
"AF","AFR","AF6758","AFR6758",6758,"LHR","EGLL","3","2023-06-09 14:40","JFK","KJFK",NA,485
"UA","UAL","UA9739","UAL9739",9739,"LHR","EGLL","2","2023-06-09 14:25","GVA","LSGG",16,100
"AY","FIN","AY5529","FIN5529",5529,"LHR","EGLL","5","2023-06-09 14:40","PHX","KPHX",3,650
"BA","BAW","BA263","BAW263",263,"LHR","EGLL","5","2023-06-09 14:05","RUH","OERK",38,400
"BA","BAW","BA432","BAW432",432,"LHR","EGLL","5","2023-06-09 14:30","AMS","EHAM",15,80
"AA","AAL","AA6655","AAL6655",6655,"LHR","EGLL","5","2023-06-09 14:15","BLR","VOBL",31,600
"BA","BAW","BA452","BAW452",452,"LHR","EGLL","5","2023-06-09 14:00","IBZ","LEIB",46,150
"AA","AAL","AA7043","AAL7043",7043,"LHR","EGLL","5","2023-06-09 14:15","OPO","LPPR",32,145
"AC","ACA","AC6946","ACA6946",6946,"LHR","EGLL","2","2023-06-09 14:35","STR","EDDS",15,95
"AC","ACA","AC6952","ACA6952",6952,"LHR","EGLL","2","2023-06-09 14:45","CGN","EDDK",4,80
"AH","DAH","AH2055","DAH2055",2055,"LHR","EGLL","4","2023-06-09 15:00","ALG","DAAG",NA,175
"VS","VIR","VS6919","VIR6919",6919,"LHR","EGLL","4","2023-06-09 14:45","AMS","EHAM",6,75
"AC","ACA","AC3714","ACA3714",3714,"LHR","EGLL","2","2023-06-09 14:50","DEN","KDEN",1,580
"BA","BAW","BA480","BAW480",480,"LHR","EGLL","5","2023-06-09 14:35","BCN","LEBL",18,125
"JL","JAL","JL7769","JAL7769",7769,"LHR","EGLL","5","2023-06-09 14:35","BRU","EBBR",20,70
"IB","IBE","IB7407","IBE7407",7407,"LHR","EGLL","5","2023-06-09 14:45","DEN","KDEN",10,590
"EI","EIN","EI385","EIN385",385,"LHR","EGLL","2","2023-06-09 14:45","SNN","EINN",17,85
"AC","ACA","AC2850","ACA2850",2850,"LHR","EGLL","2","2023-06-09 15:00","CAI","HECA",NA,280
"QF","QFA","QF8002","QFA8002",8002,"LHR","EGLL","3","2023-06-09 14:20","DXB","OMDB",41,420
"SV","SVA","SV106","SVA106",106,"LHR","EGLL","4","2023-06-09 15:10","RUH","OERK",23,405
"VS","VIR","VS4019","VIR4019",4019,"LHR","EGLL","3","2023-06-09 15:10","SLC","KSLC",NA,630
"AA","AAL","AA6643","AAL6643",6643,"LHR","EGLL","3","2023-06-09 15:00","VIE","LOWW",6,145
"XY","KNE","XY3020","KNE3020",3020,"LHR","EGLL","4","2023-06-09 14:50","AUH","OMAA",17,410
"LY","ELY","LY8054","ELY8054",8054,"LHR","EGLL","3","2023-06-09 15:15","JFK","KJFK",NA,469
"AC","ACA","AC6970","ACA6970",6970,"LHR","EGLL","2","2023-06-09 14:50","HAM","EDDH",18,90
"VS","VIR","VS4036","VIR4036",4036,"LHR","EGLL","3","2023-06-09 15:25","SEA","KSEA",NA,630
"BA","BAW","BA5931","BAW5931",5931,"LHR","EGLL","2","2023-06-09 15:10","DUB","EIDW",3,85
"QF","QFA","QF3517","QFA3517",3517,"LHR","EGLL","3","2023-06-09 15:05","MRS","LFML",10,120
"BA","BAW","BA354","BAW354",354,"LHR","EGLL","5","2023-06-09 15:15","NCE","LFMN",NA,125
"LH","DLH","LH9356","DLH9356",9356,"LHR","EGLL","2","2023-06-09 15:20","ORD","KORD",NA,535
"BA","BAW","BA942","BAW942",942,"LHR","EGLL","5","2023-06-09 15:20","DUS","EDDL",NA,85
"VA","VOZ","VA6107","VOZ6107",6107,"LHR","EGLL","4","2023-06-09 15:05","DOH","OTHH",15,405
"BA","BAW","BA324","BAW324",324,"LHR","EGLL","5","2023-06-09 15:10","IBZ","LEIB",10,150
"BA","BAW","BA1312","BAW1312",1312,"LHR","EGLL","5","2023-06-09 15:05","ABZ","EGPD",1,95
"AA","AAL","AA6727","AAL6727",6727,"LHR","EGLL","5","2023-06-09 14:20","VCE","LIPZ",71,140
"BA","BAW","BA566","BAW566",566,"LHR","EGLL","5","2023-06-09 15:15","MXP","LIMC",10,120
"BA","BAW","BA279","BAW279",279,"LHR","EGLL","5","2023-06-09 15:15","SJC","KSJC",6,660
"AY","FIN","AY5403","FIN5403",5403,"LHR","EGLL","5","2023-06-09 15:05","BNA","KBNA",22,540
"AF","AFR","AF1781","AFR1781",1781,"LHR","EGLL","4","2023-06-09 15:30","CDG","LFPG",NA,80
"BA","BAW","BA1334","BAW1334",1334,"LHR","EGLL","5","2023-06-09 15:30","NCL","EGNT",NA,75
"EI","EIN","EI8997","EIN8997",8997,"LHR","EGLL","5","2023-06-09 15:35","ORD","KORD",NA,520
"EI","EIN","EI8967","EIN8967",8967,"LHR","EGLL","5","2023-06-09 15:30","PDX","KPDX",5,590
"VS","VIR","VS135","VIR135",135,"LHR","EGLL","3","2023-06-09 15:40","MCO","KMCO",NA,561
"BA","BAW","BA690","BAW690",690,"LHR","EGLL","3","2023-06-09 15:20","LJU","LJLJ",19,140
"BA","BAW","BA243","BAW243",243,"LHR","EGLL","5","2023-06-09 15:20","MEX","MMMX",19,685
"BA","BAW","BA502","BAW502",502,"LHR","EGLL","5","2023-06-09 15:10","LIS","LPPT",33,165
"BA","BAW","BA269","BAW269",269,"LHR","EGLL","5","2023-06-09 15:45","LAX","KLAX",NA,670
"AY","FIN","AY424","FIN424",424,"LHR","EGLL","5","2023-06-09 15:20","NAP","LIRN",21,165
"QR","QTR","QR9754","QTR9754",9754,"LHR","EGLL","5","2023-06-09 15:35","BHD","EGAC",16,80
"OS","AUA","OS7797","AUA7797",7797,"LHR","EGLL","2","2023-06-09 16:00","EWR","KEWR",NA,490
"QR","QTR","QR5949","QTR5949",5949,"LHR","EGLL","5","2023-06-09 14:50","GLA","EGPF",62,85
"AA","AAL","AA6667","AAL6667",6667,"LHR","EGLL","5","2023-06-09 15:00","HYD","VOHS",53,585
"SK","SAS","SK806","SAS806",806,"LHR","EGLL","2","2023-06-09 15:35","OSL","ENGM",26,135
"BA","BAW","BA568","BAW568",568,"LHR","EGLL","5","2023-06-09 15:50","LIN","LIML",5,125
"BA","BAW","BA450","BAW450",450,"LHR","EGLL","5","2023-06-09 16:00","PMI","LEPA",NA,145
"IB","IBE","IB7409","IBE7409",7409,"LHR","EGLL","5","2023-06-09 16:00","MSY","KMSY",NA,590
"EI","EIN","EI167","EIN167",167,"LHR","EGLL","2","2023-06-09 15:50","DUB","EIDW",10,85
"IB","IBE","IB7622","IBE7622",7622,"LHR","EGLL","3","2023-06-09 15:50","BDA","TXKF",10,435
"LA","LAN","LA5309","LAN5309",5309,"LHR","EGLL","4","2023-06-09 16:00","DOH","OTHH",NA,405
"DL","DAL","DL5920","DAL5920",5920,"LHR","EGLL","3","2023-06-09 16:05","TPA","KTPA",NA,590
"LA","LAN","LA1542","LAN1542",1542,"LHR","EGLL","5","2023-06-09 15:50","MAD","LEMD",1,150
"AA","AAL","AA6489","AAL6489",6489,"LHR","EGLL","5","2023-06-09 15:40","EDI","EGPH",22,85
"SV","SVA","SV122","SVA122",122,"LHR","EGLL","4","2023-06-09 16:15","RUH","OERK",NA,405
"BA","BAW","BA716","BAW716",716,"LHR","EGLL","5","2023-06-09 15:40","ZRH","LSZH",14,105
"LA","LAN","LA5492","LAN5492",5492,"LHR","EGLL","5","2023-06-09 15:30","LYS","LFLL",27,100
"AY","FIN","AY5401","FIN5401",5401,"LHR","EGLL","5","2023-06-09 16:05","CVG","KCVG",NA,520
"OS","AUA","OS462","AUA462",462,"LHR","EGLL","2","2023-06-09 15:05","VIE","LOWW",63,135
"LH","DLH","LH909","DLH909",909,"LHR","EGLL","2","2023-06-09 15:30","FRA","EDDF",38,95
"AY","FIN","AY5413","FIN5413",5413,"LHR","EGLL","5","2023-06-09 14:40","BOS","KBOS",89,440
"UL","ALK","UL3240","ALK3240",3240,"LHR","EGLL","3","2023-06-09 16:10","HEL","EFHK",NA,170
"AA","AAL","AA6913","AAL6913",6913,"LHR","EGLL","5","2023-06-09 16:20","JFK","KJFK",NA,480
"BA","BAW","BA554","BAW554",554,"LHR","EGLL","5","2023-06-09 16:10","FCO","LIRF",NA,160
"VS","VIR","VS4096","VIR4096",4096,"LHR","EGLL","3","2023-06-09 16:20","LAX","KLAX",NA,695
"AY","FIN","AY454","FIN454",454,"LHR","EGLL","5","2023-06-09 16:05","AGP","LEMG",7,175
"BA","BAW","BA508","BAW508",508,"LHR","EGLL","5","2023-06-09 16:05","FAO","LPFR",8,175
"NZ","ANZ","NZ9835","ANZ9835",9835,"LHR","EGLL","2","2023-06-09 16:15","LAX","KLAX",NA,665
"LM","LOG","LM656","LOG656",656,"LHR","EGLL","2","2023-06-09 16:15","LDY","EGAE",NA,85
"AA","AAL","AA6450","AAL6450",6450,"LHR","EGLL","5","2023-06-09 16:05","PSA","LIRP",10,135
"IB","IBE","IB7411","IBE7411",7411,"LHR","EGLL","5","2023-06-09 16:10","ATL","KATL",10,555
"HY","UZB","HY202","UZB202",202,"LHR","EGLL","4","2023-06-09 16:20","TAS","UTTT",NA,410
"BA","BAW","BA976","BAW976",976,"LHR","EGLL","5","2023-06-09 15:00","HAJ","EDDV",85,95
"AF","AFR","AF9923","AFR9923",9923,"LHR","EGLL","3","2023-06-09 16:25","JFK","KJFK",NA,465
"JL","JAL","JL7703","JAL7703",7703,"LHR","EGLL","5","2023-06-09 16:30","MAD","LEMD",NA,145
"JL","JAL","JL7765","JAL7765",7765,"LHR","EGLL","5","2023-06-09 16:30","BCN","LEBL",NA,125
"BA","BAW","BA422","BAW422",422,"LHR","EGLL","3","2023-06-09 15:35","VLC","LEVC",42,145
"OU","CTN","OU5487","CTN5487",5487,"LHR","EGLL","2","2023-06-09 16:30","FRA","EDDF",NA,95
"BA","BAW","BA348","BAW348",348,"LHR","EGLL","5","2023-06-09 16:20","NCE","LFMN",12,125
"IB","IBE","IB7384","IBE7384",7384,"LHR","EGLL","5","2023-06-09 16:45","EWR","KEWR",NA,465
"BA","BAW","BA986","BAW986",986,"LHR","EGLL","5","2023-06-09 16:40","BER","EDDB",NA,115
"PK","PIA","PK5986","PIA5986",5986,"LHR","EGLL","2","2023-06-09 16:40","IST","LTFM",NA,230
"LX","SWR","LX3050","SWR3050",3050,"LHR","EGLL","2","2023-06-09 16:40","IAD","KIAD",NA,505
"BA","BAW","BA608","BAW608",608,"LHR","EGLL","3","2023-06-09 16:40","OLB","LIEO",14,160
"IB","IBE","IB7435","IBE7435",7435,"LHR","EGLL","5","2023-06-09 16:50","LAS","KLAS",NA,640
"AY","FIN","AY5955","FIN5955",5955,"LHR","EGLL","5","2023-06-09 16:45","GLA","EGPF",NA,85
"KU","KAC","KU102","KAC102",102,"LHR","EGLL","4","2023-06-09 16:45","KWI","OKBK",NA,355
"AA","AAL","AA6729","AAL6729",6729,"LHR","EGLL","5","2023-06-09 16:15","MUC","EDDM",32,125
"LH","DLH","LH6584","DLH6584",6584,"LHR","EGLL","2","2023-06-09 16:10","YYZ","CYYZ",40,475
"BA","BAW","BA872","BAW872",872,"LHR","EGLL","3","2023-06-09 16:50","KRK","EPKK",NA,150
"GA","GIA","GA8863","GIA8863",8863,"LHR","EGLL","3","2023-06-09 16:50","DXB","OMDB",1,415
"BA","BAW","BA5969","BAW5969",5969,"LHR","EGLL","2","2023-06-09 16:50","DUB","EIDW",NA,85
"VS","VIR","VS155","VIR155",155,"LHR","EGLL","3","2023-06-09 16:30","LAS","KLAS",20,640
"AY","FIN","AY4071","FIN4071",4071,"LHR","EGLL","3","2023-06-09 16:55","CLT","KCLT",NA,515
"AV","AVA","AV6200","AVA6200",6200,"LHR","EGLL","4","2023-06-09 16:55","FCO","LIRF",NA,160
"BA","BAW","BA171","BAW171",171,"LHR","EGLL","5","2023-06-09 16:55","PIT","KPIT",NA,480
"AA","AAL","AA7027","AAL7027",7027,"LHR","EGLL","5","2023-06-09 17:05","TLV","LLBG",NA,290
"AC","ACA","AC9943","ACA9943",9943,"LHR","EGLL","2","2023-06-09 17:00","CPH","EKCH",NA,110
"MK","MAU","MK53","MAU53",53,"LHR","EGLL","4","2023-06-09 17:00","MRU","FIMP",NA,725
"BA","BAW","BA782","BAW782",782,"LHR","EGLL","5","2023-06-09 17:05","ARN","ESSA",NA,150
"SQ","SIA","SQ2863","SIA2863",2863,"LHR","EGLL","2","2023-06-09 16:35","ATH","LGAV",25,215
"LY","ELY","LY8055","ELY8055",8055,"LHR","EGLL","3","2023-06-09 17:00","JFK","KJFK",NA,469
"CX","CPA","CX238","CPA238",238,"LHR","EGLL","3","2023-06-09 17:00","HKG","VHHH",NA,735
"AA","AAL","AA6763","AAL6763",6763,"LHR","EGLL","5","2023-06-09 17:05","DUB","EIDW",NA,90
"RJ","RJA","RJ112","RJA112",112,"LHR","EGLL","3","2023-06-09 17:05","AMM","OJAI",NA,305
"VS","VIR","VS6921","VIR6921",6921,"LHR","EGLL","4","2023-06-09 17:10","AMS","EHAM",NA,85
"DT","DTA","DT6171","DTA6171",6171,"LHR","EGLL","5","2023-06-09 17:10","MAD","LEMD",NA,150
"AA","AAL","AA6922","AAL6922",6922,"LHR","EGLL","5","2023-06-09 17:10","YYZ","CYYZ",NA,465
