"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"QR","QTR","QR2254","QTR2254","2254","LHR","EGLL","3","2023-06-08 09:35","PHX","KPHX",NA,661
"DL","DAL","DL5967","DAL5967","5967","LHR","EGLL","3","2023-06-08 09:40","MIA","KMIA",9,565
"BA","BAW","BA7","BAW7","7","LHR","EGLL","5","2023-06-08 09:35","HND","RJTT",NA,815
"DL","DAL","DL5997","DAL5997","5997","LHR","EGLL","3","2023-06-08 09:20","JFK","KJFK",15,465
"BA","BAW","BA384","BAW384","384","LHR","EGLL","5","2023-06-08 09:20","CAI","HECA",17,300
"BA","BAW","BA1438","BAW1438","1438","LHR","EGLL","5","2023-06-08 09:00","EDI","EGPH",26,85
"EI","EIN","EI8875","EIN8875","8875","LHR","EGLL","5","2023-06-08 09:45","JFK","KJFK",NA,465
"UA","UAL","UA8035","UAL8035","8035","LHR","EGLL","2","2023-06-08 09:30","YUL","CYUL",NA,430
"IB","IBE","IB4667","IBE4667","4667","LHR","EGLL","3","2023-06-08 09:45","CLT","KCLT",NA,526
"JL","JAL","JL7849","JAL7849","7849","LHR","EGLL","3","2023-06-08 09:25","STR","EDDS",NA,105
"UA","UAL","UA8810","UAL8810","8810","LHR","EGLL","2","2023-06-08 09:30","FRA","EDDF",16,95
"BA","BAW","BA602","BAW602","602","LHR","EGLL","5","2023-06-08 09:35","SAW","LTFJ",12,250
"BA","BAW","BA5941","BAW5941","5941","LHR","EGLL","2","2023-06-08 09:50","SNN","EINN",NA,90
"BA","BAW","BA1550","BAW1550","1550","LHR","EGLL","3","2023-06-08 10:05","RDU","KRDU",NA,510
"LM","LOG","LM622","LOG622","622","LHR","EGLL","2","2023-06-08 09:45","DND","EGPN",10,100
"IB","IBE","IB7390","IBE7390","7390","LHR","EGLL","5","2023-06-08 09:35","IAH","KIAH",21,615
"KL","KLM","KL1008","KLM1008","1008","LHR","EGLL","4","2023-06-08 09:55","AMS","EHAM",2,90
"SK","SAS","SK502","SAS502","502","LHR","EGLL","2","2023-06-08 09:55","CPH","EKCH",2,110
"BA","BAW","BA658","BAW658","658","LHR","EGLL","5","2023-06-08 09:40","ZTH","LGZA",19,220
"SN","BEL","SN9038","BEL9038","9038","LHR","EGLL","2","2023-06-08 10:00","EWR","KEWR",1,485
"EI","EIN","EI155","EIN155","155","LHR","EGLL","2","2023-06-08 09:50","DUB","EIDW",14,85
"BA","BAW","BA1420","BAW1420","1420","LHR","EGLL","5","2023-06-08 10:10","BHD","EGAC",NA,85
"AI","AIC","AI162","AIC162","162","LHR","EGLL","2","2023-06-08 09:45","DEL","VIDP",NA,515
"AF","AFR","AF3610","AFR3610","3610","LHR","EGLL","3","2023-06-08 09:55","BOS","KBOS",13,455
"AA","AAL","AA6436","AAL6436","6436","LHR","EGLL","5","2023-06-08 10:10","GLA","EGPF",NA,90
