"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"BA","BAW","BA83","BAW83","83","LHR","EGLL","5","2023-06-08 22:25","ABV","DNAA",16,370
"EK","UAE","EK6","UAE6","6","LHR","EGLL","3","2023-06-08 22:15","DXB","OMDB",17,410
"AY","FIN","AY5977","FIN5977","5977","LHR","EGLL","5","2023-06-08 21:15","EDI","EGPH",82,80
"AM","AMX","AM7698","AMX7698","7698","LHR","EGLL","3","2023-06-08 22:10","TLV","LLBG",38,295
"AA","AAL","AA8397","AAL8397","8397","LHR","EGLL","4","2023-06-08 22:20","TLV","LLBG",29,295
"CX","CPA","CX254","CPA254","254","LHR","EGLL","3","2023-06-08 22:15","HKG","VHHH",41,740
"BA","BAW","BA245","BAW245","245","LHR","EGLL","5","2023-06-08 22:30","EZE","SAEZ",31,835
"CZ","CSN","CZ304","CSN304","304","LHR","EGLL","4","2023-06-08 22:10","CAN","ZGGG",95,715
"AC","ACA","AC2686","ACA2686","2686","LHR","EGLL","2","2023-06-09 06:00","LIS","LPPT",NA,160
"AC","ACA","AC6186","ACA6186","6186","LHR","EGLL","2","2023-06-09 06:00","VIE","LOWW",NA,130
"AC","ACA","AC6756","ACA6756","6756","LHR","EGLL","2","2023-06-09 06:00","ZRH","LSZH",NA,100
"AA","AAL","AA6811","AAL6811","6811","LHR","EGLL","5","2023-06-09 06:15","BCN","LEBL",NA,130
"AY","FIN","AY456","FIN456","456","LHR","EGLL","5","2023-06-09 06:15","MAD","LEMD",NA,145
"AF","AFR","AF1381","AFR1381","1381","LHR","EGLL","4","2023-06-09 06:20","CDG","LFPG",NA,75
"BA","BAW","BA520","BAW520","520","LHR","EGLL","5","2023-06-09 06:25","FNC","LPMA",NA,230
"BA","BAW","BA854","BAW854","854","LHR","EGLL","3","2023-06-09 06:25","PRG","LKPR",NA,120
"AC","ACA","AC6745","ACA6745","6745","LHR","EGLL","2","2023-06-09 06:30","WAW","EPWA",NA,150
"BA","BAW","BA552","BAW552","552","LHR","EGLL","5","2023-06-09 06:30","FCO","LIRF",NA,155
"CI","CAL","CI9362","CAL9362","9362","LHR","EGLL","4","2023-06-09 06:30","AMS","EHAM",NA,85
"LH","DLH","LH921","DLH921","921","LHR","EGLL","2","2023-06-09 06:30","FRA","EDDF",NA,95
"6E","IGO","6E4052","IGO4052","4052","LHR","EGLL","2","2023-06-09 06:45","IST","LTFM",NA,230
"AA","AAL","AA6853","AAL6853","6853","LHR","EGLL","5","2023-06-09 06:35","ATH","LGAV",NA,235
"AA","AAL","AA8031","AAL8031","8031","LHR","EGLL","2","2023-06-09 06:40","DUB","EIDW",NA,80
"AY","FIN","AY516","FIN516","516","LHR","EGLL","5","2023-06-09 06:40","OPO","LPPR",NA,155
"BA","BAW","BA428","BAW428","428","LHR","EGLL","5","2023-06-09 06:40","AMS","EHAM",NA,90
"SK","SAS","SK1530","SAS1530","1530","LHR","EGLL","2","2023-06-09 06:40","ARN","ESSA",NA,145
"BA","BAW","BA1382","BAW1382","1382","LHR","EGLL","5","2023-06-09 06:45","MAN","EGCC",NA,65
"SK","SAS","SK500","SAS500","500","LHR","EGLL","2","2023-06-09 06:45","CPH","EKCH",NA,110
"AA","AAL","AA6859","AAL6859","6859","LHR","EGLL","5","2023-06-09 06:50","GVA","LSGG",NA,95
"BA","BAW","BA990","BAW990","990","LHR","EGLL","5","2023-06-09 06:50","BER","EDDB",NA,110
"HU","CHH","HU8540","CHH8540","8540","LHR","EGLL","2","2023-06-09 06:50","BRU","EBBR",NA,60
"A3","AEE","A31621","AEE1621","1621","LHR","EGLL","2","2023-06-09 06:55","MUC","EDDM",NA,110
"AY","FIN","AY412","FIN412","412","LHR","EGLL","5","2023-06-09 06:55","AGP","LEMG",NA,175
"BA","BAW","BA696","BAW696","696","LHR","EGLL","3","2023-06-09 07:00","VIE","LOWW",NA,140
"LX","SWR","LX359","SWR359","359","LHR","EGLL","2","2023-06-09 07:00","GVA","LSGG",NA,95
"AA","AAL","AA6674","AAL6674","6674","LHR","EGLL","3","2023-06-09 07:05","GIB","LXGB",NA,175
"AY","FIN","AY5926","FIN5926","5926","LHR","EGLL","5","2023-06-09 07:05","ARN","ESSA",NA,150
"BA","BAW","BA304","BAW304","304","LHR","EGLL","5","2023-06-09 07:05","CDG","LFPG",NA,75
"SK","SAS","SK802","SAS802","802","LHR","EGLL","2","2023-06-09 07:05","OSL","ENGM",NA,130
"AA","AAL","AA6761","AAL6761","6761","LHR","EGLL","5","2023-06-09 07:10","LCA","LCLK",NA,280
"AY","FIN","AY5898","FIN5898","5898","LHR","EGLL","5","2023-06-09 07:10","CPH","EKCH",NA,110
"BA","BAW","BA1472","BAW1472","1472","LHR","EGLL","5","2023-06-09 07:10","GLA","EGPF",NA,85
"BA","BAW","BA742","BAW742","742","LHR","EGLL","5","2023-06-09 07:10","HER","LGIR",NA,245
"AA","AAL","AA6829","AAL6829","6829","LHR","EGLL","5","2023-06-09 07:15","LIN","LIML",NA,120
"BA","BAW","BA902","BAW902","902","LHR","EGLL","5","2023-06-09 07:15","FRA","EDDF",NA,95
"BA","BAW","BA1324","BAW1324","1324","LHR","EGLL","5","2023-06-09 07:20","NCL","EGNT",NA,70
"B6","JBU","B61621","JBU1621","1621","LHR","EGLL","2","2023-06-09 07:25","BOS","KBOS",NA,471
"BA","BAW","BA1340","BAW1340","1340","LHR","EGLL","5","2023-06-09 07:25","JER","EGJJ",NA,65
"BA","BAW","BA936","BAW936","936","LHR","EGLL","5","2023-06-09 07:25","DUS","EDDL",NA,85
"BA","BAW","BA964","BAW964","964","LHR","EGLL","5","2023-06-09 07:25","HAM","EDDH",NA,95
"A3","AEE","A31607","AEE1607","1607","LHR","EGLL","2","2023-06-09 07:30","FRA","EDDF",NA,95
"AA","AAL","AA6484","AAL6484","6484","LHR","EGLL","5","2023-06-09 07:30","BHD","EGAC",NA,85
"AA","AAL","AA9002","AAL9002","9002","LHR","EGLL","3","2023-06-09 07:30","HEL","EFHK",NA,170
"BA","BAW","BA500","BAW500","500","LHR","EGLL","5","2023-06-09 07:30","LIS","LPPT",NA,165
"AA","AAL","AA6570","AAL6570","6570","LHR","EGLL","5","2023-06-09 07:35","KEF","BIKF",NA,190
"BA","BAW","BA342","BAW342","342","LHR","EGLL","5","2023-06-09 07:35","NCE","LFMN",NA,125
"BA","BAW","BA436","BAW436","436","LHR","EGLL","5","2023-06-09 07:35","AMS","EHAM",NA,90
"BA","BAW","BA602","BAW602","602","LHR","EGLL","5","2023-06-09 07:35","SAW","LTFJ",NA,250
"AA","AAL","AA6692","AAL6692","6692","LHR","EGLL","5","2023-06-09 07:35","WAW","EPWA",7,145
"AA","AAL","AA6793","AAL6793","6793","LHR","EGLL","5","2023-06-09 07:40","TLS","LFBO",NA,110
"AA","AAL","AA6827","AAL6827","6827","LHR","EGLL","3","2023-06-09 07:40","OSL","ENGM",NA,130
"AA","AAL","AA8033","AAL8033","8033","LHR","EGLL","2","2023-06-09 07:40","DUB","EIDW",NA,80
"BA","BAW","BA540","BAW540","540","LHR","EGLL","5","2023-06-09 07:40","BLQ","LIPE",NA,130
"AA","AAL","AA109","AAL109","109","LHR","EGLL","3","2023-06-09 07:45","BOS","KBOS",NA,438
"AA","AAL","AA6802","AAL6802","6802","LHR","EGLL","5","2023-06-09 07:45","MAD","LEMD",NA,145
"AC","ACA","AC5424","ACA5424","5424","LHR","EGLL","2","2023-06-09 07:45","EWR","KEWR",NA,455
"AA","AAL","AA6558","AAL6558","6558","LHR","EGLL","5","2023-06-09 07:50","EDI","EGPH",NA,85
"AY","FIN","AY928","FIN928","928","LHR","EGLL","5","2023-06-09 07:55","TIA","LATI",NA,185
