"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"UA","UAL","UA6814","UAL6814","6814","LHR","EGLL","2","2023-06-07 10:15","WAW","EPWA",45,155
"SN","BEL","SN2094","BEL2094","2094","LHR","EGLL","2","2023-06-07 11:05","BRU","EBBR",NA,65
"SN","BEL","SN9024","BEL9024","9024","LHR","EGLL","2","2023-06-07 11:05","DEN","KDEN",NA,580
"EI","EIN","EI915","EIN915","915","LHR","EGLL","2","2023-06-07 11:05","NOC","EIKN",NA,90
"JL","JAL","JL6537","JAL6537","6537","LHR","EGLL","5","2023-06-07 11:10","DUS","EDDL",NA,85
"MH","MAS","MH9668","MAS9668","9668","LHR","EGLL","5","2023-06-07 11:10","CDG","LFPG",NA,75
"AF","AFR","AF3674","AFR3674","3674","LHR","EGLL","3","2023-06-07 11:00","DTW","KDTW",NA,510
"AA","AAL","AA6824","AAL6824","6824","LHR","EGLL","3","2023-06-07 11:10","GIB","LXGB",NA,175
"IB","IBE","IB4265","IBE4265","4265","LHR","EGLL","3","2023-06-07 11:15","LAX","KLAX",NA,680
"VS","VIR","VS197","VIR197","197","LHR","EGLL","3","2023-06-07 11:15","BGI","TBPB",NA,540
"DL","DAL","DL2","DAL2","2","LHR","EGLL","3","2023-06-07 11:15","JFK","KJFK",NA,480
"LO","LOT","LO4717","LOT4717","4717","LHR","EGLL","2","2023-06-07 11:20","LIS","LPPT",NA,160
"BA","BAW","BA75","BAW75","75","LHR","EGLL","5","2023-06-07 11:20","LOS","DNMM",NA,395
"FJ","FJI","FJ5958","FJI5958","5958","LHR","EGLL","2","2023-06-07 11:25","SIN","WSSS",NA,785
"PK","PIA","PK5980","PIA5980","5980","LHR","EGLL","2","2023-06-07 11:25","IST","LTFM",NA,220
"BA","BAW","BA1412","BAW1412","1412","LHR","EGLL","5","2023-06-07 11:25","BHD","EGAC",NA,85
"AA","AAL","AA6588","AAL6588","6588","LHR","EGLL","5","2023-06-07 11:30","NCE","LFMN",NA,125
