"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"AY","FIN","AY5984","FIN5984",5984,"LHR","EGLL","5","2023-06-05 20:30","LIS","LPPT",165
"SL","SZS","SL1508","SZS1508",1508,"LHR","EGLL","2","2023-06-05 20:30","CPH","EKCH",110
"MH","MAS","MH9874","MAS9874",9874,"LHR","EGLL","5","2023-06-05 20:30","LYS","LFLL",100
"KM","AMC","KM103","AMC103",103,"LHR","EGLL","4","2023-06-05 20:30","MLA","LMML",190
"CX","CPA","CX7165","CPA7165",7165,"LHR","EGLL","5","2023-06-05 20:35","MUC","EDDM",115
"LA","LAN","LA5576","LAN5576",5576,"LHR","EGLL","5","2023-06-05 20:35","MAN","EGCC",60
"AA","AAL","AA6712","AAL6712",6712,"LHR","EGLL","5","2023-06-05 20:35","MXP","LIMC",120
"AA","AAL","AA6766","AAL6766",6766,"LHR","EGLL","5","2023-06-05 20:35","CDG","LFPG",75
"AA","AAL","AA6797","AAL6797",6797,"LHR","EGLL","5","2023-06-05 20:40","TLS","LFBO",110
"BA","BAW","BA544","BAW544",544,"LHR","EGLL","5","2023-06-05 20:40","BLQ","LIPE",130
"QF","QFA","QF8004","QFA8004",8004,"LHR","EGLL","3","2023-06-05 20:40","DXB","OMDB",415
"OZ","AAR","OZ522","AAR522",522,"LHR","EGLL","2","2023-06-05 20:40","ICN","RKSI",770
"OU","CTN","OU5804","CTN5804",5804,"LHR","EGLL","2","2023-06-05 20:50","SIN","WSSS",785
"IB","IBE","IB7546","IBE7546",7546,"LHR","EGLL","5","2023-06-05 20:50","NCL","EGNT",70
"BA","BAW","BA802","BAW802",802,"LHR","EGLL","3","2023-06-05 20:50","GOT","ESGG",125
"AA","AAL","AA6542","AAL6542",6542,"LHR","EGLL","5","2023-06-05 20:50","EDI","EGPH",85
"WY","OMA","WY102","OMA102",102,"LHR","EGLL","4","2023-06-05 20:50","MCT","OOMS",435
"NZ","ANZ","NZ4298","ANZ4298",4298,"LHR","EGLL","4","2023-06-05 20:55","AUH","OMAA",410
"MF","CXA","MF9164","CXA9164",9164,"LHR","EGLL","4","2023-06-05 20:55","AMS","EHAM",70
"BA","BAW","BA27","BAW27",27,"LHR","EGLL","5","2023-06-05 20:55","HKG","VHHH",760
"QF","QFA","QF2","QFA2",2,"LHR","EGLL","3","2023-06-05 20:55","SIN","WSSS",815
