"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"LH","DLH","LH2483","DLH2483","2483","LHR","EGLL","2","2023-06-06 06:55","MUC","EDDM",110
"QR","QTR","QR5925","QTR5925","5925","LHR","EGLL","5","2023-06-06 06:40","AGP","LEMG",175
"HU","CHH","HU8540","CHH8540","8540","LHR","EGLL","2","2023-06-06 06:50","BRU","EBBR",60
"BA","BAW","BA776","BAW776","776","LHR","EGLL","5","2023-06-06 07:00","ARN","ESSA",150
"QR","QTR","QR5974","QTR5974","5974","LHR","EGLL","5","2023-06-06 06:55","NCL","EGNT",70
"QR","QTR","QR6264","QTR6264","6264","LHR","EGLL","5","2023-06-06 07:00","EDI","EGPH",85
"BA","BAW","BA948","BAW948","948","LHR","EGLL","5","2023-06-06 07:05","MUC","EDDM",115
"QR","QTR","QR5998","QTR5998","5998","LHR","EGLL","5","2023-06-06 07:00","ABZ","EGPD",95
"BA","BAW","BA1472","BAW1472","1472","LHR","EGLL","5","2023-06-06 07:05","GLA","EGPF",85
"QR","QTR","QR5918","QTR5918","5918","LHR","EGLL","5","2023-06-06 06:55","DUB","EIDW",85
"BA","BAW","BA696","BAW696","696","LHR","EGLL","3","2023-06-06 07:10","VIE","LOWW",140
"SL","SZS","SL802","SZS802","802","LHR","EGLL","2","2023-06-06 07:05","OSL","ENGM",130
"LX","SWR","LX359","SWR359","359","LHR","EGLL","2","2023-06-06 07:00","GVA","LSGG",95
"BA","BAW","BA800","BAW800","800","LHR","EGLL","5","2023-06-06 07:10","KEF","BIKF",190
"QF","QFA","QF3515","QFA3515","3515","LHR","EGLL","3","2023-06-06 07:10","MRS","LFML",115
"AA","AAL","AA6761","AAL6761","6761","LHR","EGLL","5","2023-06-06 07:15","LCA","LCLK",280
"CX","CPA","CX7199","CPA7199","7199","LHR","EGLL","5","2023-06-06 07:15","CPH","EKCH",110
"BA","BAW","BA964","BAW964","964","LHR","EGLL","5","2023-06-06 07:15","HAM","EDDH",95
"B6","JBU","B61621","JBU1621","1621","LHR","EGLL","2","2023-06-06 07:25","BOS","KBOS",471
"AA","AAL","AA6853","AAL6853","6853","LHR","EGLL","5","2023-06-06 06:55","ATH","LGAV",235
"AA","AAL","AA6759","AAL6759","6759","LHR","EGLL","5","2023-06-06 07:25","BCN","LEBL",135
