"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"LX","SWR","LX3046","SWR3046","3046","LHR","EGLL","2","2023-06-06 11:05","DEN","KDEN",580
"GF","GFA","GF6507","GFA6507","6507","LHR","EGLL","3","2023-06-06 11:15","LAX","KLAX",680
"BA","BAW","BA308","BAW308","308","LHR","EGLL","5","2023-06-06 11:05","CDG","LFPG",75
"EI","EIN","EI915","EIN915","915","LHR","EGLL","2","2023-06-06 11:05","NOC","EIKN",90
"BA","BAW","BA536","BAW536","536","LHR","EGLL","5","2023-06-06 10:35","NAP","LIRN",160
"AF","AFR","AF3600","AFR3600","3600","LHR","EGLL","3","2023-06-06 11:15","JFK","KJFK",480
"AA","AAL","AA6813","AAL6813","6813","LHR","EGLL","5","2023-06-06 11:00","BCN","LEBL",135
"AA","AAL","AA6996","AAL6996","6996","LHR","EGLL","5","2023-06-06 11:10","SFO","KSFO",665
"AA","AAL","AA6588","AAL6588","6588","LHR","EGLL","5","2023-06-06 11:10","NCE","LFMN",125
"QR","QTR","QR5870","QTR5870","5870","LHR","EGLL","3","2023-06-06 10:10","GIB","LXGB",175
"QR","QTR","QR9698","QTR9698","9698","LHR","EGLL","5","2023-06-06 10:40","DUB","EIDW",90
"LY","ELY","LY8046","ELY8046","8046","LHR","EGLL","3","2023-06-06 11:00","ORD","KORD",540
"BA","BAW","BA546","BAW546","546","LHR","EGLL","5","2023-06-06 10:35","FCO","LIRF",165
"MH","MAS","MH9820","MAS9820","9820","LHR","EGLL","5","2023-06-06 10:30","EDI","EGPH",90
"KM","AMC","KM101","AMC101","101","LHR","EGLL","4","2023-06-06 10:50","MLA","LMML",190
"JL","JAL","JL7871","JAL7871","7871","LHR","EGLL","5","2023-06-06 11:00","FRA","EDDF",105
"JL","JAL","JL7101","JAL7101","7101","LHR","EGLL","5","2023-06-06 11:35","AMS","EHAM",85
"AA","AAL","AA6851","AAL6851","6851","LHR","EGLL","5","2023-06-06 11:35","ATH","LGAV",225
"QR","QTR","QR5913","QTR5913","5913","LHR","EGLL","3","2023-06-06 10:15","NAS","MYNN",560
"AI","AIC","AI7909","AIC7909","7909","LHR","EGLL","2","2023-06-06 11:20","LIS","LPPT",160
"OS","AUA","OS7857","AUA7857","7857","LHR","EGLL","2","2023-06-06 10:25","SFO","KSFO",660
"BA","BAW","BA1412","BAW1412","1412","LHR","EGLL","5","2023-06-06 11:20","BHD","EGAC",85
"EI","EIN","EI8981","EIN8981","8981","LHR","EGLL","5","2023-06-06 11:40","LAX","KLAX",675
