"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"CX","CPA","CX254","CPA254","254","LHR","EGLL","3","2023-06-06 22:15","HKG","VHHH",740
"UK","VTI","UK18","VTI18","18","LHR","EGLL","3","2023-06-06 22:20","DEL","VIDP",485
"BA","BAW","BA247","BAW247","247","LHR","EGLL","5","2023-06-06 22:20","GRU","SBGR",700
"LY","ELY","LY318","ELY318","318","LHR","EGLL","4","2023-06-06 22:20","TLV","LLBG",295
"IB","IBE","IB7370","IBE7370","7370","LHR","EGLL","5","2023-06-06 22:20","KWI","OKBK",375
"BA","BAW","BA245","BAW245","245","LHR","EGLL","5","2023-06-06 22:25","EZE","SAEZ",835
"QR","QTR","QR5886","QTR5886","5886","LHR","EGLL","5","2023-06-06 22:25","CPT","FACT",700
"BA","BAW","BA83","BAW83","83","LHR","EGLL","5","2023-06-06 22:25","ABV","DNAA",370
"BA","BAW","BA5925","BAW5925","5925","LHR","EGLL","2","2023-06-06 22:25","ORK","EICK",80
"VS","VIR","VS449","VIR449","449","LHR","EGLL","3","2023-06-06 22:30","JNB","FAOR",655
"VS","VIR","VS411","VIR411","411","LHR","EGLL","3","2023-06-06 22:30","LOS","DNMM",395
"AM","AMX","AM8","AMX8","8","LHR","EGLL","3","2023-06-06 22:30","MEX","MMMX",685
"CA","CCA","CA856","CCA856","856","LHR","EGLL","2","2023-06-06 22:40","PEK","ZBAA",585
