"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"AF","AFR","AF9888","AFR9888","9888","LHR","EGLL","3","2023-06-08 16:05","TPA","KTPA",5,590
"BA","BAW","BA568","BAW568","568","LHR","EGLL","5","2023-06-08 15:30","LIN","LIML",15,125
"QR","QTR","QR6272","QTR6272","6272","LHR","EGLL","5","2023-06-08 15:10","EDI","EGPH",48,85
"AY","FIN","AY5459","FIN5459","5459","LHR","EGLL","5","2023-06-08 15:45","LAX","KLAX",13,670
"UA","UAL","UA941","UAL941","941","LHR","EGLL","2","2023-06-08 16:00","EWR","KEWR",NA,490
"OS","AUA","OS8225","AUA8225","8225","LHR","EGLL","2","2023-06-08 15:55","YYZ","CYYZ",6,475
"AA","AAL","AA7006","AAL7006","7006","LHR","EGLL","5","2023-06-08 15:35","ORD","KORD",26,520
"BA","BAW","BA614","BAW614","614","LHR","EGLL","5","2023-06-08 15:40","BDS","LIBR",22,180
"QR","QTR","QR5997","QTR5997","5997","LHR","EGLL","5","2023-06-08 16:05","BRU","EBBR",7,70
"EI","EIN","EI8330","EIN8330","8330","LHR","EGLL","5","2023-06-08 16:05","DUB","EIDW",5,90
"BA","BAW","BA852","BAW852","852","LHR","EGLL","3","2023-06-08 16:05","PRG","LKPR",55,120
"BA","BAW","BA243","BAW243","243","LHR","EGLL","5","2023-06-08 15:20","MEX","MMMX",50,685
"QR","QTR","QR9710","QTR9710","9710","LHR","EGLL","3","2023-06-08 16:10","GOT","ESGG",2,120
"AY","FIN","AY1336","FIN1336","1336","LHR","EGLL","3","2023-06-08 16:10","HEL","EFHK",2,170
"QF","QFA","QF3539","QFA3539","3539","LHR","EGLL","5","2023-06-08 16:10","BER","EDDB",2,115
"EI","EIN","EI8925","EIN8925","8925","LHR","EGLL","5","2023-06-08 16:00","MSY","KMSY",14,590
"AA","AAL","AA6646","AAL6646","6646","LHR","EGLL","5","2023-06-08 15:20","NAP","LIRN",64,165
"SV","SVA","SV122","SVA122","122","LHR","EGLL","4","2023-06-08 16:15","RUH","OERK",9,405
"EI","EIN","EI8979","EIN8979","8979","LHR","EGLL","5","2023-06-08 15:15","SJC","KSJC",53,660
"BA","BAW","BA348","BAW348","348","LHR","EGLL","5","2023-06-08 16:15","NCE","LFMN",NA,125
"VS","VIR","VS4096","VIR4096","4096","LHR","EGLL","3","2023-06-08 16:20","LAX","KLAX",NA,695
"NH","ANA","NH6136","ANA6136","6136","LHR","EGLL","2","2023-06-08 15:30","FRA","EDDF",48,95
"AC","ACA","AC5355","ACA5355","5355","LHR","EGLL","2","2023-06-08 16:15","LAX","KLAX",16,665
"SQ","SIA","SQ2535","SIA2535","2535","LHR","EGLL","3","2023-06-08 16:30","LAS","KLAS",6,640
"SV","SVA","SV112","SVA112","112","LHR","EGLL","4","2023-06-08 16:20","JED","OEJN",7,370
"OS","AUA","OS7807","AUA7807","7807","LHR","EGLL","2","2023-06-08 16:40","IAD","KIAD",NA,505
"BA","BAW","BA942","BAW942","942","LHR","EGLL","5","2023-06-08 15:15","DUS","EDDL",75,85
"BA","BAW","BA760","BAW760","760","LHR","EGLL","3","2023-06-08 16:30","OSL","ENGM",NA,130
"BA","BAW","BA4006","BAW4006","4006","LHR","EGLL","2","2023-06-08 16:15","LDY","EGAE",15,85
"QF","QFA","QF3565","QFA3565","3565","LHR","EGLL","5","2023-06-08 16:20","ABZ","EGPD",3,95
"A3","AEE","A3603","AEE603","603","LHR","EGLL","2","2023-06-08 16:35","ATH","LGAV",NA,215
"BA","BAW","BA450","BAW450","450","LHR","EGLL","5","2023-06-08 16:05","PMI","LEPA",20,150
"IB","IBE","IB7592","IBE7592","7592","LHR","EGLL","5","2023-06-08 16:35","GLA","EGPF",10,85
"KU","KAC","KU102","KAC102","102","LHR","EGLL","4","2023-06-08 16:45","KWI","OKBK",NA,355
"IB","IBE","IB4784","IBE4784","4784","LHR","EGLL","3","2023-06-08 16:55","CLT","KCLT",NA,515
"BA","BAW","BA912","BAW912","912","LHR","EGLL","5","2023-06-08 16:30","FRA","EDDF",16,100
"VS","VIR","VS153","VIR153","153","LHR","EGLL","3","2023-06-08 16:25","JFK","KJFK",23,465
"BA","BAW","BA275","BAW275","275","LHR","EGLL","5","2023-06-08 16:50","LAS","KLAS",NA,640
"BA","BAW","BA606","BAW606","606","LHR","EGLL","5","2023-06-08 16:15","PSA","LIRP",35,135
"AA","AAL","AA7192","AAL7192","7192","LHR","EGLL","3","2023-06-08 17:05","AMM","OJAI",NA,305
"LA","LAN","LA5309","LAN5309","5309","LHR","EGLL","4","2023-06-08 16:00","DOH","OTHH",17,405
"BA","BAW","BA227","BAW227","227","LHR","EGLL","5","2023-06-08 16:10","ATL","KATL",42,555
"B6","JBU","B64467","JBU4467","4467","LHR","EGLL","3","2023-06-08 17:00","JFK","KJFK",NA,469
"AY","FIN","AY5932","FIN5932","5932","LHR","EGLL","5","2023-06-08 16:40","ARN","ESSA",13,150
"AY","FIN","AY5489","FIN5489","5489","LHR","EGLL","5","2023-06-08 16:45","EWR","KEWR",13,465
"AC","ACA","AC5345","ACA5345","5345","LHR","EGLL","2","2023-06-08 12:15","IAD","KIAD",255,490
"UA","UAL","UA7656","UAL7656","7656","LHR","EGLL","2","2023-06-08 16:50","DUB","EIDW",12,85
"JL","JAL","JL7799","JAL7799","7799","LHR","EGLL","5","2023-06-08 17:00","WAW","EPWA",2,145
"BA","BAW","BA1346","BAW1346","1346","LHR","EGLL","5","2023-06-08 16:05","JER","EGJJ",59,60
"AA","AAL","AA6420","AAL6420","6420","LHR","EGLL","5","2023-06-08 16:35","MUC","EDDM",30,125
"BA","BAW","BA203","BAW203","203","LHR","EGLL","5","2023-06-08 17:05","BOS","KBOS",NA,455
"JL","JAL","JL7703","JAL7703","7703","LHR","EGLL","5","2023-06-08 16:30","MAD","LEMD",40,145
"VN","HVN","VN56","HVN56","56","LHR","EGLL","4","2023-06-08 17:05","HAN","VVNB",NA,720
"AZ","ITY","AZ207","ITY207","207","LHR","EGLL","4","2023-06-08 17:10","FCO","LIRF",NA,160
"EI","EIN","EI8871","EIN8871","8871","LHR","EGLL","5","2023-06-08 16:55","PIT","KPIT",8,480
"QF","QFA","QF8030","QFA8030","8030","LHR","EGLL","3","2023-06-08 16:50","DXB","OMDB",20,415
"AV","AVA","AV2482","AVA2482","2482","LHR","EGLL","2","2023-06-08 16:35","LIS","LPPT",35,160
"IB","IBE","IB7351","IBE7351","7351","LHR","EGLL","5","2023-06-08 16:20","JFK","KJFK",50,480
