"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"BR","EVA","BR3173","EVA3173","3173","LAX","KLAX","TBIT","2023-06-08 01:54","PTY","MPTO",NA,402
"AA","AAL","AA2811","AAL2811","2811","LAX","KLAX","TBIT","2023-06-08 06:00","DFW","KDFW",NA,196
"KE","KAL","KE7949","KAL7949","7949","LAX","KLAX","TBIT","2023-06-08 07:00","MEX","MMMX",NA,233
"KE","KAL","KE7852","KAL7852","7852","LAX","KLAX","TBIT","2023-06-08 07:00","HNL","PHNL",NA,350
"WS","WJA","WS7070","WJA7070","7070","LAX","KLAX","TBIT","2023-06-08 07:15","SLC","KSLC",NA,115
"TN","THT","TN1314","THT1314","1314","LAX","KLAX","TBIT","2023-06-08 07:26","CLT","KCLT",NA,295
"BA","BAW","BA4792","BAW4792","4792","LAX","KLAX","TBIT","2023-06-08 07:45","ORD","KORD",NA,249
"AS","ASA","AS6589","ASA6589","6589","LAX","KLAX","TBIT","2023-06-08 09:00","RDU","KRDU",NA,306
"QF","QFA","QF4153","QFA4153","4153","LAX","KLAX","TBIT","2023-06-08 09:20","DFW","KDFW",NA,206
"Y4","VOI","Y4915","VOI915","915","LAX","KLAX","TBIT","2023-06-08 09:20","GDL","MMGL",NA,192
"DL","DAL","DL2149","DAL2149","2149","LAX","KLAX","TBIT","2023-06-08 09:35","PDX","KPDX",NA,145
"HA","HAL","HA3","HAL3","3","LAX","KLAX","TBIT","2023-06-08 10:00","HNL","PHNL",NA,350
"DL","DAL","DL1865","DAL1865","1865","LAX","KLAX","TBIT","2023-06-08 10:00","PVR","MMPR",NA,181
"Y4","VOI","Y4925","VOI925","925","LAX","KLAX","TBIT","2023-06-08 10:23","AGU","MMAS",NA,185
"AA","AAL","AA27","AAL27","27","LAX","KLAX","TBIT","2023-06-08 10:28","HND","RJTT",NA,712
"HA","HAL","HA61","HAL61","61","LAX","KLAX","TBIT","2023-06-08 11:00","KOA","PHKO",NA,340
"AM","AMX","AM645","AMX645","645","LAX","KLAX","TBIT","2023-06-08 11:52","MEX","MMMX",NA,233
"SQ","SIA","SQ5701","SIA5701","5701","LAX","KLAX","TBIT","2023-06-08 12:10","ICN","RKSI",NA,805
"SQ","SIA","SQ5819","SIA5819","5819","LAX","KLAX","TBIT","2023-06-08 12:15","TPE","RCTP",NA,830
"KE","KAL","KE18","KAL18","18","LAX","KLAX","TBIT","2023-06-08 12:30","ICN","RKSI",NA,800
"UA","UAL","UA7945","UAL7945","7945","LAX","KLAX","TBIT","2023-06-08 12:45","NRT","RJAA",NA,705
"VS","VIR","VS7758","VIR7758","7758","LAX","KLAX","TBIT","2023-06-08 12:50","LIM","SPJC",NA,515
"PR","PAL","PR113","PAL113","113","LAX","KLAX","TBIT","2023-06-08 12:50","MNL","RPLL",NA,880
"Y4","VOI","Y4995","VOI995","995","LAX","KLAX","TBIT","2023-06-08 12:57","MEX","MMMX",NA,233
"MH","MAS","MH9113","MAS9113","9113","LAX","KLAX","TBIT","2023-06-08 13:05","NRT","RJAA",NA,695
"DL","DAL","DL8237","DAL8237","8237","LAX","KLAX","TBIT","2023-06-08 13:10","CDG","LFPG",NA,650
"AA","AAL","AA8453","AAL8453","8453","LAX","KLAX","TBIT","2023-06-08 13:30","HND","RJTT",NA,715
"AA","AAL","AA7224","AAL7224","7224","LAX","KLAX","TBIT","2023-06-08 13:30","CDG","LFPG",NA,635
