"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"VS","VIR","VS5178","VIR5178","5178","LAX","KLAX","TBIT","2023-06-08 07:55","ATL","KATL",1,249
"GF","GFA","GF4135","GFA4135","4135","LAX","KLAX","TBIT","2023-06-08 08:08","MIA","KMIA",NA,326
"Y4","VOI","Y4915","VOI915","915","LAX","KLAX","TBIT","2023-06-08 09:20","GDL","MMGL",NA,192
"IB","IBE","IB4059","IBE4059","4059","LAX","KLAX","TBIT","2023-06-08 09:20","DFW","KDFW",NA,206
"KE","KAL","KE7854","KAL7854","7854","LAX","KLAX","TBIT","2023-06-08 10:00","HNL","PHNL",NA,350
"Y4","VOI","Y4925","VOI925","925","LAX","KLAX","TBIT","2023-06-08 10:23","AGU","MMAS",NA,185
"JL","JAL","JL7017","JAL7017","7017","LAX","KLAX","TBIT","2023-06-08 10:28","HND","RJTT",NA,712
"G4","AAY","G41896","AAY1896","1896","LAX","KLAX","TBIT","2023-06-08 10:33","BLI","KBLI",NA,159
"HA","HAL","HA61","HAL61","61","LAX","KLAX","TBIT","2023-06-08 11:00","KOA","PHKO",NA,340
"WS","WJA","WS6146","WJA6146","6146","LAX","KLAX","TBIT","2023-06-08 11:52","MEX","MMMX",NA,233
"TG","THA","TG6732","THA6732","6732","LAX","KLAX","TBIT","2023-06-08 12:10","ICN","RKSI",NA,805
"TG","THA","TG6243","THA6243","6243","LAX","KLAX","TBIT","2023-06-08 12:15","TPE","RCTP",NA,830
"MX","MXY","MX503","MXY503","503","LAX","KLAX","TBIT","2023-06-08 12:20","JAX","KJAX",NA,280
"LA","LAN","LA8427","LAN8427","8427","LAX","KLAX","TBIT","2023-06-08 12:30","ICN","RKSI",NA,800
"DL","DAL","DL7","DAL7","7","LAX","KLAX","TBIT","2023-06-08 10:20","HND","RJTT",143,715
"TG","THA","TG6093","THA6093","6093","LAX","KLAX","TBIT","2023-06-08 12:45","NRT","RJAA",NA,705
"MX","MXY","MX703","MXY703","703","LAX","KLAX","TBIT","2023-06-08 12:45","RIC","KRIC",NA,305
"G4","AAY","G4761","AAY761","761","LAX","KLAX","TBIT","2023-06-08 12:48","CVG","KCVG",NA,252
"KE","KAL","KE7963","KAL7963","7963","LAX","KLAX","TBIT","2023-06-08 12:50","LIM","SPJC",NA,515
"PR","PAL","PR113","PAL113","113","LAX","KLAX","TBIT","2023-06-08 12:50","MNL","RPLL",NA,880
"JL","JAL","JL61","JAL61","61","LAX","KLAX","TBIT","2023-06-08 13:05","NRT","RJAA",NA,695
"DL","DAL","DL8237","DAL8237","8237","LAX","KLAX","TBIT","2023-06-08 13:10","CDG","LFPG",NA,650
"G4","AAY","G42408","AAY2408","2408","LAX","KLAX","TBIT","2023-06-08 13:18","MEM","KMEM",NA,225
"AA","AAL","AA8453","AAL8453","8453","LAX","KLAX","TBIT","2023-06-08 13:30","HND","RJTT",NA,715
"TN","THT","TN8","THT8","8","LAX","KLAX","TBIT","2023-06-08 13:30","CDG","LFPG",NA,635
"AV","AVA","AV523","AVA523","523","LAX","KLAX","TBIT","2023-06-08 13:50","SAL","MSLP",NA,300
"SK","SAS","SK932","SAS932","932","LAX","KLAX","TBIT","2023-06-08 13:50","CPH","EKCH",NA,640
"AF","AFR","AF8250","AFR8250","8250","LAX","KLAX","TBIT","2023-06-08 13:55","AMS","EHAM",NA,610
"HY","UZB","HY7240","UZB7240","7240","LAX","KLAX","TBIT","2023-06-08 13:55","IST","LTFM",NA,785
"WS","WJA","WS7002","WJA7002","7002","LAX","KLAX","TBIT","2023-06-08 14:00","ATL","KATL",NA,267
"AM","AMX","AM7874","AMX7874","7874","LAX","KLAX","TBIT","2023-06-08 14:00","TLV","LLBG",NA,835
"MH","MAS","MH9141","MAS9141","9141","LAX","KLAX","TBIT","2023-06-08 14:25","KIX","RJBB",NA,750
"VS","VIR","VS7516","VIR7516","7516","LAX","KLAX","TBIT","2023-06-08 14:30","MEX","MMMX",NA,225
"NH","ANA","NH7824","ANA7824","7824","LAX","KLAX","TBIT","2023-06-08 14:45","GUA","MGGT",NA,290
"MH","MAS","MH9794","MAS9794","9794","LAX","KLAX","TBIT","2023-06-08 14:45","DOH","OTHH",NA,945
"UA","UAL","UA9882","UAL9882","9882","LAX","KLAX","TBIT","2023-06-08 15:05","VIE","LOWW",NA,685
"AZ","ITY","AZ621","ITY621","621","LAX","KLAX","TBIT","2023-06-08 15:10","FCO","LIRF",NA,710
"DL","DAL","DL8553","DAL8553","8553","LAX","KLAX","TBIT","2023-06-08 15:25","CDG","LFPG",NA,650
"Y4","VOI","Y4995","VOI995","995","LAX","KLAX","TBIT","2023-06-08 12:57","MEX","MMMX",152,233
"UA","UAL","UA8844","UAL8844","8844","LAX","KLAX","TBIT","2023-06-08 15:00","FRA","EDDF",35,640
"DL","DAL","DL5978","DAL5978","5978","LAX","KLAX","TBIT","2023-06-08 15:40","LHR","EGLL",NA,620
"EI","EIN","EI8982","EIN8982","8982","LAX","KLAX","TBIT","2023-06-08 15:45","LHR","EGLL",NA,625
"SQ","SIA","SQ11","SIA11","11","LAX","KLAX","TBIT","2023-06-08 14:20","NRT","RJAA",90,690
"TN","THT","TN1320","THT1320","1320","LAX","KLAX","TBIT","2023-06-08 16:30","DFW","KDFW",NA,190
"NZ","ANZ","NZ4097","ANZ4097","4097","LAX","KLAX","TBIT","2023-06-08 16:30","PPT","NTAA",NA,490
"MH","MAS","MH9734","MAS9734","9734","LAX","KLAX","TBIT","2023-06-08 16:35","DOH","OTHH",NA,955
"EK","UAE","EK216","UAE216","216","LAX","KLAX","TBIT","2023-06-08 16:40","DXB","OMDB",NA,950
