"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"G4","AAY","G4762","AAY762",762,"LAX","KLAX","TBIT","2023-06-09 06:30","DSM","KDSM",NA,193
"DL","DAL","DL1319","DAL1319",1319,"LAX","KLAX","TBIT","2023-06-09 07:05","LAS","KLAS",NA,73
"AM","AMX","AM649","AMX649",649,"LAX","KLAX","TBIT","2023-06-09 07:00","MEX","MMMX",NA,233
"AA","AAL","AA899","AAL899",899,"LAX","KLAX","TBIT","2023-06-09 07:17","PHX","KPHX",NA,92
"G4","AAY","G4791","AAY791",791,"LAX","KLAX","TBIT","2023-06-09 07:15","TUL","KTUL",NA,180
"TN","THT","TN1314","THT1314",1314,"LAX","KLAX","TBIT","2023-06-09 07:26","CLT","KCLT",NA,295
"B6","JBU","B65801","JBU5801",5801,"LAX","KLAX","TBIT","2023-06-09 07:00","HNL","PHNL",27,350
"DL","DAL","DL380","DAL380",380,"LAX","KLAX","TBIT","2023-06-09 08:00","DCA","KDCA",NA,310
"VS","VIR","VS5178","VIR5178",5178,"LAX","KLAX","TBIT","2023-06-09 07:55","ATL","KATL",14,249
"EI","EIN","EI7107","EIN7107",7107,"LAX","KLAX","TBIT","2023-06-09 07:45","ORD","KORD",25,249
"TN","THT","TN1315","THT1315",1315,"LAX","KLAX","TBIT","2023-06-09 08:55","CLT","KCLT",NA,298
"AA","AAL","AA1994","AAL1994",1994,"LAX","KLAX","TBIT","2023-06-09 09:20","DFW","KDFW",NA,206
"Y4","VOI","Y4915","VOI915",915,"LAX","KLAX","TBIT","2023-06-09 09:20","GDL","MMGL",NA,192
"AS","ASA","AS4663","ASA4663",4663,"LAX","KLAX","TBIT","2023-06-09 09:35","YVR","CYVR",NA,190
"HA","HAL","HA3","HAL3",3,"LAX","KLAX","TBIT","2023-06-09 10:00","HNL","PHNL",NA,350
"Y4","VOI","Y4923","VOI923",923,"LAX","KLAX","TBIT","2023-06-09 10:23","ZCL","MMZC",NA,179
"AA","AAL","AA27","AAL27",27,"LAX","KLAX","TBIT","2023-06-09 10:28","HND","RJTT",NA,712
"YP","APZ","YP102","APZ102",102,"LAX","KLAX","TBIT","2023-06-09 10:50","ICN","RKSI",NA,775
"KE","KAL","KE7955","KAL7955",7955,"LAX","KLAX","TBIT","2023-06-09 11:52","MEX","MMMX",NA,233
"BR","EVA","BR5","EVA5",5,"LAX","KLAX","TBIT","2023-06-09 12:15","TPE","RCTP",NA,830
"LA","LAN","LA8427","LAN8427",8427,"LAX","KLAX","TBIT","2023-06-09 12:30","ICN","RKSI",NA,800
"TG","THA","TG6732","THA6732",6732,"LAX","KLAX","TBIT","2023-06-09 12:10","ICN","RKSI",NA,805
"NH","ANA","NH5","ANA5",5,"LAX","KLAX","TBIT","2023-06-09 12:45","NRT","RJAA",NA,705
"PR","PAL","PR113","PAL113",113,"LAX","KLAX","TBIT","2023-06-09 12:50","MNL","RPLL",NA,880
"VS","VIR","VS7758","VIR7758",7758,"LAX","KLAX","TBIT","2023-06-09 12:50","LIM","SPJC",NA,515
"MH","MAS","MH9113","MAS9113",9113,"LAX","KLAX","TBIT","2023-06-09 13:05","NRT","RJAA",NA,695
"AA","AAL","AA8938","AAL8938",8938,"LAX","KLAX","TBIT","2023-06-09 13:15","HKG","VHHH",NA,880
"AS","ASA","AS7317","ASA7317",7317,"LAX","KLAX","TBIT","2023-06-09 13:30","HND","RJTT",NA,715
"AA","AAL","AA7224","AAL7224",7224,"LAX","KLAX","TBIT","2023-06-09 13:30","CDG","LFPG",NA,635
"Y4","VOI","Y4663","VOI663",663,"LAX","KLAX","TBIT","2023-06-09 13:30","OAX","MMOX",NA,242
"BR","EVA","BR3101","EVA3101",3101,"LAX","KLAX","TBIT","2023-06-09 13:50","SAL","MSLP",NA,300
"SK","SAS","SK932","SAS932",932,"LAX","KLAX","TBIT","2023-06-09 13:50","CPH","EKCH",NA,640
"PK","PIA","PK5180","PIA5180",5180,"LAX","KLAX","TBIT","2023-06-09 13:55","IST","LTFM",NA,785
"KL","KLM","KL602","KLM602",602,"LAX","KLAX","TBIT","2023-06-09 13:55","AMS","EHAM",NA,610
"LA","LAN","LA6402","LAN6402",6402,"LAX","KLAX","TBIT","2023-06-09 14:00","ATL","KATL",NA,267
"SQ","SIA","SQ11","SIA11",11,"LAX","KLAX","TBIT","2023-06-09 14:20","NRT","RJAA",NA,690
"VS","VIR","VS7516","VIR7516",7516,"LAX","KLAX","TBIT","2023-06-09 14:30","MEX","MMMX",NA,225
"KE","KAL","KE7953","KAL7953",7953,"LAX","KLAX","TBIT","2023-06-09 14:32","GDL","MMGL",NA,200
"NH","ANA","NH7824","ANA7824",7824,"LAX","KLAX","TBIT","2023-06-09 14:45","GUA","MGGT",NA,290
"SN","BEL","SN7251","BEL7251",7251,"LAX","KLAX","TBIT","2023-06-09 15:00","FRA","EDDF",NA,640
