"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"IB","IBE","IB4535","IBE4535","4535","LAX","KLAX","TBIT","2023-06-05 06:10","ORD","KORD",253
"AA","AAL","AA2129","AAL2129","2129","LAX","KLAX","TBIT","2023-06-05 06:00","MIA","KMIA",314
"IB","IBE","IB4716","IBE4716","4716","LAX","KLAX","TBIT","2023-06-05 07:00","BOS","KBOS",342
"AM","AMX","AM649","AMX649","649","LAX","KLAX","TBIT","2023-06-05 07:00","MEX","MMMX",233
"KE","KAL","KE7852","KAL7852","7852","LAX","KLAX","TBIT","2023-06-05 07:00","HNL","PHNL",350
"JL","JAL","JL7530","JAL7530","7530","LAX","KLAX","TBIT","2023-06-05 07:17","PHX","KPHX",92
"JL","JAL","JL7580","JAL7580","7580","LAX","KLAX","TBIT","2023-06-05 08:00","LAS","KLAS",70
"DL","DAL","DL515","DAL515","515","LAX","KLAX","TBIT","2023-06-05 07:55","ATL","KATL",249
"HA","HAL","HA33","HAL33","33","LAX","KLAX","TBIT","2023-06-05 08:15","OGG","PHOG",345
"MU","CES","MU4703","CES4703","4703","LAX","KLAX","TBIT","2023-06-05 08:20","HNL","PHNL",342
"CI","CAL","CI9169","CAL9169","9169","LAX","KLAX","TBIT","2023-06-05 08:28","SFO","KSFO",87
"TN","THT","TN1315","THT1315","1315","LAX","KLAX","TBIT","2023-06-05 08:55","CLT","KCLT",298
"AS","ASA","AS6589","ASA6589","6589","LAX","KLAX","TBIT","2023-06-05 09:00","RDU","KRDU",306
"HA","HAL","HA63","HAL63","63","LAX","KLAX","TBIT","2023-06-05 09:15","LIH","PHLI",360
"BA","BAW","BA4751","BAW4751","4751","LAX","KLAX","TBIT","2023-06-05 09:20","DFW","KDFW",206
"Y4","VOI","Y4915","VOI915","915","LAX","KLAX","TBIT","2023-06-05 09:20","GDL","MMGL",192
"VS","VIR","VS2092","VIR2092","2092","LAX","KLAX","TBIT","2023-06-05 09:45","SAT","KSAT",178
"KE","KAL","KE7854","KAL7854","7854","LAX","KLAX","TBIT","2023-06-05 10:00","HNL","PHNL",350
"DL","DAL","DL1434","DAL1434","1434","LAX","KLAX","TBIT","2023-06-05 10:10","SLC","KSLC",114
"Y4","VOI","Y4923","VOI923","923","LAX","KLAX","TBIT","2023-06-05 10:23","ZCL","MMZC",179
"AA","AAL","AA27","AAL27","27","LAX","KLAX","TBIT","2023-06-05 10:28","HND","RJTT",712
"YP","APZ","YP102","APZ102","102","LAX","KLAX","TBIT","2023-06-05 10:50","ICN","RKSI",775
"HA","HAL","HA61","HAL61","61","LAX","KLAX","TBIT","2023-06-05 11:00","KOA","PHKO",340
"AM","AMX","AM7874","AMX7874","7874","LAX","KLAX","TBIT","2023-06-05 11:30","TLV","LLBG",835
"AM","AMX","AM645","AMX645","645","LAX","KLAX","TBIT","2023-06-05 11:52","MEX","MMMX",233
"OZ","AAR","OZ201","AAR201","201","LAX","KLAX","TBIT","2023-06-05 12:10","ICN","RKSI",805
"TG","THA","TG6243","THA6243","6243","LAX","KLAX","TBIT","2023-06-05 12:15","TPE","RCTP",830
"KE","KAL","KE18","KAL18","18","LAX","KLAX","TBIT","2023-06-05 12:30","ICN","RKSI",800
"TG","THA","TG6093","THA6093","6093","LAX","KLAX","TBIT","2023-06-05 12:45","NRT","RJAA",705
"PR","PAL","PR113","PAL113","113","LAX","KLAX","TBIT","2023-06-05 12:50","MNL","RPLL",880
"LA","LAN","LA7455","LAN7455","7455","LAX","KLAX","TBIT","2023-06-05 13:05","NRT","RJAA",695
"VS","VIR","VS6667","VIR6667","6667","LAX","KLAX","TBIT","2023-06-05 13:10","CDG","LFPG",650
"CM","CMP","CM303","CMP303","303","LAX","KLAX","TBIT","2023-06-05 01:20","PTY","MPTO",402
"Y4","VOI","Y4663","VOI663","663","LAX","KLAX","TBIT","2023-06-05 13:30","OAX","MMOX",242
"MH","MAS","MH9171","MAS9171","9171","LAX","KLAX","TBIT","2023-06-05 13:30","HND","RJTT",715
"AS","ASA","AS5508","ASA5508","5508","LAX","KLAX","TBIT","2023-06-05 13:30","CDG","LFPG",635
"TK","THY","TK180","THY180","180","LAX","KLAX","TBIT","2023-06-05 13:55","IST","LTFM",785
"AC","ACA","AC6156","ACA6156","6156","LAX","KLAX","TBIT","2023-06-05 13:50","SAL","MSLP",300
"SK","SAS","SK932","SAS932","932","LAX","KLAX","TBIT","2023-06-05 13:50","CPH","EKCH",640
"AF","AFR","AF8250","AFR8250","8250","LAX","KLAX","TBIT","2023-06-05 13:55","AMS","EHAM",610
"DL","DAL","DL902","DAL902","902","LAX","KLAX","TBIT","2023-06-05 14:00","ATL","KATL",267
"SQ","SIA","SQ11","SIA11","11","LAX","KLAX","TBIT","2023-06-05 14:20","NRT","RJAA",690
"LA","LAN","LA7462","LAN7462","7462","LAX","KLAX","TBIT","2023-06-05 14:25","KIX","RJBB",750
"LY","ELY","LY8217","ELY8217","8217","LAX","KLAX","TBIT","2023-06-05 14:30","MEX","MMMX",225
"KE","KAL","KE7953","KAL7953","7953","LAX","KLAX","TBIT","2023-06-05 14:32","GDL","MMGL",200
"TK","THY","TK9408","THY9408","9408","LAX","KLAX","TBIT","2023-06-05 14:45","GUA","MGGT",290
"UA","UAL","UA8844","UAL8844","8844","LAX","KLAX","TBIT","2023-06-05 15:00","FRA","EDDF",640
"OS","AUA","OS82","AUA82","82","LAX","KLAX","TBIT","2023-06-05 15:05","VIE","LOWW",685
"EY","ETD","EY2919","ETD2919","2919","LAX","KLAX","TBIT","2023-06-05 15:10","FCO","LIRF",710
"VS","VIR","VS6779","VIR6779","6779","LAX","KLAX","TBIT","2023-06-05 15:25","CDG","LFPG",650
"KL","KLM","KL4810","KLM4810","4810","LAX","KLAX","TBIT","2023-06-05 15:40","LHR","EGLL",620
"AA","AAL","AA6935","AAL6935","6935","LAX","KLAX","TBIT","2023-06-05 15:45","LHR","EGLL",625
"DL","DAL","DL7729","DAL7729","7729","LAX","KLAX","TBIT","2023-06-05 16:20","TPE","RCTP",835
