"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"Y4","VOI","Y4919","VOI919","919","LAX","KLAX","TBIT","2023-06-09 00:43","GDL","MMGL",NA,192
"DL","DAL","DL7730","DAL7730","7730","LAX","KLAX","TBIT","2023-06-09 00:05","TPE","RCTP",36,835
"TG","THA","TG6247","THA6247","6247","LAX","KLAX","TBIT","2023-06-09 00:50","TPE","RCTP",NA,835
"AA","AAL","AA169","AAL169","169","LAX","KLAX","TBIT","2023-06-09 00:58","HND","RJTT",NA,707
"TA","TAI","TA529","TAI529","529","LAX","KLAX","TBIT","2023-06-09 01:00","SAL","MSLP",NA,300
"BA","BAW","BA4790","BAW4790","4790","LAX","KLAX","TBIT","2023-06-09 00:59","ORD","KORD",4,247
"Y4","VOI","Y4917","VOI917","917","LAX","KLAX","TBIT","2023-06-09 01:10","GDL","MMGL",NA,192
"NH","ANA","NH105","ANA105","105","LAX","KLAX","TBIT","2023-06-09 01:20","HND","RJTT",6,700
"MH","MAS","MH9342","MAS9342","9342","LAX","KLAX","TBIT","2023-06-09 01:45","DFW","KDFW",16,189
"BR","EVA","BR3177","EVA3177","3177","LAX","KLAX","TBIT","2023-06-09 01:20","PTY","MPTO",NA,402
"HA","HAL","HA1","HAL1","1","LAX","KLAX","TBIT","2023-06-09 07:00","HNL","PHNL",NA,350
"AM","AMX","AM649","AMX649","649","LAX","KLAX","TBIT","2023-06-09 07:00","MEX","MMMX",NA,233
"TN","THT","TN1298","THT1298","1298","LAX","KLAX","TBIT","2023-06-09 07:17","PHX","KPHX",NA,92
"TN","THT","TN1314","THT1314","1314","LAX","KLAX","TBIT","2023-06-09 07:26","CLT","KCLT",NA,295
"IB","IBE","IB4536","IBE4536","4536","LAX","KLAX","TBIT","2023-06-09 07:45","ORD","KORD",NA,249
"LA","LAN","LA6476","LAN6476","6476","LAX","KLAX","TBIT","2023-06-09 07:55","ATL","KATL",NA,249
"HA","HAL","HA33","HAL33","33","LAX","KLAX","TBIT","2023-06-09 08:15","OGG","PHOG",NA,345
"TN","THT","TN1315","THT1315","1315","LAX","KLAX","TBIT","2023-06-09 08:55","CLT","KCLT",NA,298
"AA","AAL","AA2308","AAL2308","2308","LAX","KLAX","TBIT","2023-06-09 09:00","RDU","KRDU",NA,306
"QF","QFA","QF4153","QFA4153","4153","LAX","KLAX","TBIT","2023-06-09 09:20","DFW","KDFW",NA,206
"Y4","VOI","Y4915","VOI915","915","LAX","KLAX","TBIT","2023-06-09 09:20","GDL","MMGL",NA,192
"HA","HAL","HA3","HAL3","3","LAX","KLAX","TBIT","2023-06-09 10:00","HNL","PHNL",NA,350
"DL","DAL","DL7","DAL7","7","LAX","KLAX","TBIT","2023-06-09 10:20","HND","RJTT",NA,715
"Y4","VOI","Y4923","VOI923","923","LAX","KLAX","TBIT","2023-06-09 10:23","ZCL","MMZC",NA,179
"JL","JAL","JL7017","JAL7017","7017","LAX","KLAX","TBIT","2023-06-09 10:28","HND","RJTT",NA,712
"YP","APZ","YP102","APZ102","102","LAX","KLAX","TBIT","2023-06-09 10:50","ICN","RKSI",NA,775
"HA","HAL","HA61","HAL61","61","LAX","KLAX","TBIT","2023-06-09 11:00","KOA","PHKO",NA,340
"AM","AMX","AM645","AMX645","645","LAX","KLAX","TBIT","2023-06-09 11:52","MEX","MMMX",NA,233
"SQ","SIA","SQ5701","SIA5701","5701","LAX","KLAX","TBIT","2023-06-09 12:10","ICN","RKSI",NA,805
"TG","THA","TG6243","THA6243","6243","LAX","KLAX","TBIT","2023-06-09 12:15","TPE","RCTP",NA,830
