"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air Canada","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-08-08 09:00",13,81,"Domestic"
"Aer Lingus","Chicago O'Hare International Airport","YYZ","2023-08-08 09:00",11,3,"International"
"United Airlines","Los Angeles International Airport","YYZ","2023-08-08 09:00",5,31,"International"
"Air Canada","Halifax Stanfield International Airport","YYZ","2023-08-08 08:25",8,81,"Domestic"
"Air Canada","George Bush Intercontinental Airport","YYZ","2023-08-08 08:30",3,81,"International"
"Air Canada","La Guardia Airport","YYZ","2023-08-08 09:10",17,81,"International"
"Air Canada","Fredericton International Airport","YYZ","2023-08-08 09:15",2,81,"Domestic"
"Air Canada","Fort Lauderdale-Hollywood International Airport","YYZ","2023-08-08 09:05",3,81,"International"
"Westjet","Punta Cana International Airport","YYZ","2023-08-08 09:15",3,11,"International"
"Air Canada","Seattle-Tacoma International Airport","YYZ","2023-08-08 09:00",2,81,"International"
"Air Canada","Phoenix Sky Harbor International Airport","YYZ","2023-08-08 09:20",1,81,"International"
"Jazz Aviation","Gander International Airport","YYZ","2023-08-08 09:25",1,30,"Domestic"
"United Airlines","Newark Liberty International Airport","YYZ","2023-08-08 09:30",13,31,"International"
"Air Canada rouge","McCarran International Airport","YYZ","2023-08-08 09:30",2,13,"International"
"Lynx Air","Vancouver International Airport","YYZ","2023-08-08 07:55",16,4,"Domestic"
"Delta Air Lines","McCarran International Airport","YYZ","2023-08-08 09:35",2,10,"International"
"Jazz Aviation","Lambert-St. Louis International Airport","YYZ","2023-08-08 09:40",2,30,"International"
"Air Canada","St. John's International Airport","YYZ","2023-08-08 09:40",4,81,"Domestic"
"Air Canada","Dallas/Fort Worth International Airport","YYZ","2023-08-08 07:50",3,81,"International"
"Jazz Aviation","Minneapolis-St Paul International Airport","YYZ","2023-08-08 09:50",5,30,"International"
"Egyptair","Calgary International Airport","YYZ","2023-08-08 09:50",19,9,"Domestic"
"Air Canada","Miami International Airport","YYZ","2023-08-08 09:50",2,81,"International"
"Air Canada","London International Airport","YYZ","2023-08-08 09:55",4,81,"Domestic"
"Japan Airlines","Vancouver International Airport","YYZ","2023-08-08 10:00",16,1,"Domestic"
"United Airlines","Washington Dulles International Airport","YYZ","2023-08-08 10:00",5,31,"International"
"United Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-08-08 10:00",12,31,"Domestic"
"Air Transat","Edmonton International Airport","YYZ","2023-08-08 10:00",12,11,"Domestic"
"Egyptair","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-08-08 10:00",13,9,"Domestic"
"Aeromexico","Calgary International Airport","YYZ","2023-08-08 10:00",19,5,"Domestic"
"Air Canada","Saskatoon John G. Diefenbaker International Airport","YYZ","2023-08-08 10:00",2,81,"Domestic"
"Westjet","Cancun International Airport","YYZ","2023-08-08 10:00",5,11,"International"
"Westjet","Benito Juarez International Airport","YYZ","2023-08-08 10:01",2,11,"International"
"Air Transat","Calgary International Airport","YYZ","2023-08-08 10:05",19,11,"Domestic"
"Egyptair","Vancouver International Airport","YYZ","2023-08-08 10:10",16,9,"Domestic"
"Egyptair","Ottawa Macdonald-Cartier International Airport","YYZ","2023-08-08 10:10",11,9,"Domestic"
"Endeavor Air","La Guardia Airport","YYZ","2023-08-08 10:04",17,6,"International"
"Porter Airlines","Vancouver International Airport","YYZ","2023-08-08 10:15",16,3,"Domestic"
"Jazz Aviation","Sault Ste. Marie Airport","YYZ","2023-08-08 10:00",2,30,"Domestic"
"Ethiopian Airlines","Addis Ababa Bole International Airport","YYZ","2023-08-08 10:20",1,1,"International"
"Qatar Airways","John F. Kennedy International Airport","YYZ","2023-08-08 10:25",5,2,"International"
"Republic Airline","Newark Liberty International Airport","YYZ","2023-08-08 10:32",13,6,"International"
"Air Canada","Austin-Bergstrom International Airport","YYZ","2023-08-08 09:55",1,81,"International"
"Air Canada","Sydney/J.A. Douglas McCurdy Airport","YYZ","2023-08-08 10:30",1,81,"Domestic"
"Republic Airline","La Guardia Airport","YYZ","2023-08-08 10:55",17,6,"International"
"Qantas Airways","Los Angeles International Airport","YYZ","2023-08-08 11:00",5,5,"International"
"Qantas Airways","Calgary International Airport","YYZ","2023-08-08 11:00",19,5,"Domestic"
"Air New Zealand","Chicago O'Hare International Airport","YYZ","2023-08-08 11:00",11,3,"International"
"Jazz Aviation","John F. Kennedy International Airport","YYZ","2023-08-08 11:00",5,30,"International"
"American Airlines","Philadelphia International Airport","YYZ","2023-08-08 11:00",6,5,"International"
"Emirates","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-08-08 11:00",13,7,"Domestic"
"Emirates","Edmonton International Airport","YYZ","2023-08-08 11:05",12,7,"Domestic"
"Endeavor Air","John F. Kennedy International Airport","YYZ","2023-08-08 11:10",5,6,"International"
"Air Canada","Halifax Stanfield International Airport","YYZ","2023-08-08 11:20",8,81,"Domestic"
"Air Canada","L.F. Wade International Airport","YYZ","2023-08-08 11:25",1,81,"International"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-08-08 11:29",6,10,"International"
"United Airlines","Newark Liberty International Airport","YYZ","2023-08-08 11:30",13,31,"International"
"Air Wisconsin","Chicago O'Hare International Airport","YYZ","2023-08-08 11:34",11,2,"International"
"Air Canada","Calgary International Airport","YYZ","2023-08-08 11:40",19,81,"Domestic"
"Air Transat","Puerto Plata Airport","YYZ","2023-08-08 11:45",2,11,"International"
"United Airlines","La Guardia Airport","YYZ","2023-08-08 11:55",17,31,"International"
"Egyptair","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-08-08 12:00",13,9,"Domestic"
"Korean Air","Winnipeg J. A. Richardson International Airport","YYZ","2023-08-08 12:00",12,4,"Domestic"
"Qantas Airways","Vancouver International Airport","YYZ","2023-08-08 12:00",16,5,"Domestic"
"Endeavor Air","La Guardia Airport","YYZ","2023-08-08 12:01",17,6,"International"
"Endeavor Air","Detroit Metropolitan Wayne County Airport","YYZ","2023-08-08 12:02",4,6,"International"
"Air Canada rouge","Nashville International Airport","YYZ","2023-08-08 12:05",3,13,"International"
"Air Canada","North Bay/Jack Garland Airport","YYZ","2023-08-08 09:20",2,81,"Domestic"
"Egyptair","Ottawa Macdonald-Cartier International Airport","YYZ","2023-08-08 12:10",11,9,"Domestic"
"Air India","Indira Gandhi International Airport","YYZ","2023-08-08 12:15",1,1,"International"
"Air Canada rouge","Deer Lake Regional Airport","YYZ","2023-08-08 09:35",2,13,"Domestic"
"Delta Air Lines","Edmonton International Airport","YYZ","2023-08-08 12:15",12,10,"Domestic"
"KLM Royal Dutch Airlines","Minneapolis-St Paul International Airport","YYZ","2023-08-08 12:25",5,6,"International"
"Air Canada","Chicago O'Hare International Airport","YYZ","2023-08-08 12:30",11,81,"International"
"TAP Portugal","Logan International Airport","YYZ","2023-08-08 12:30",3,5,"International"
"Flair Airlines","Calgary International Airport","YYZ","2023-08-08 12:35",19,8,"Domestic"
"Air Canada","Raleigh-Durham International Airport","YYZ","2023-08-08 12:35",2,81,"International"
"Emirates","St. John's International Airport","YYZ","2023-08-08 12:35",4,7,"Domestic"
"Westjet","Incheon International Airport","YYZ","2023-08-08 12:40",2,11,"International"
"Republic Airline","Newark Liberty International Airport","YYZ","2023-08-08 12:45",13,6,"International"
"Flair Airlines","Edmonton International Airport","YYZ","2023-08-08 12:45",12,8,"Domestic"
"Jetstream International Airlines","Ronald Reagan Washington National Airport","YYZ","2023-08-08 12:45",4,2,"International"
"Egyptair","Cairo International Airport","YYZ","2023-08-08 12:45",1,9,"International"
"American Airlines","Charlotte Douglas International Airport","YYZ","2023-08-08 12:00",3,5,"International"
"Air Canada","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-08-08 12:50",6,81,"International"
"Egyptair","Edmonton International Airport","YYZ","2023-08-08 12:50",12,9,"Domestic"
"Republic Airline","La Guardia Airport","YYZ","2023-08-08 12:51",17,6,"International"
"Austrian","San Francisco International Airport","YYZ","2023-08-08 12:55",4,9,"International"
"Air Canada","Narita International Airport","YYZ","2023-08-08 12:55",1,81,"International"
"Porter Airlines","Vancouver International Airport","YYZ","2023-08-08 13:00",16,3,"Domestic"
"Air Transat","Frank Pais International Airport","YYZ","2023-08-08 13:00",2,11,"International"
"Air Transat","Calgary International Airport","YYZ","2023-08-08 13:05",19,11,"Domestic"
