"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"American Airlines","Luxembourg Findel Airport","LHR","2023-06-08 08:25",10,717,"International"
"American Airlines","Pisa International Airport","LHR","2023-06-08 08:25",12,717,"International"
"American Airlines","John F. Kennedy International Airport","LHR","2023-06-08 08:25",135,717,"International"
"Air Canada","Toronto Pearson International Airport","LHR","2023-06-08 08:30",38,183,"International"
"British Airways","Hamad International Airport","LHR","2023-06-08 08:30",42,773,"International"
"Lufthansa Cargo","Frankfurt Airport","LHR","2023-06-08 08:30",93,107,"International"
"Lufthansa","Frankfurt Airport","LHR","2023-06-08 08:30",93,107,"International"
"American Airlines","Berlin Brandenburg Airport","LHR","2023-06-08 08:35",34,717,"International"
"American Airlines","Venice Marco Polo Airport","LHR","2023-06-08 08:35",25,717,"International"
"American Airlines","Nuremberg Airport","LHR","2023-06-08 08:35",5,717,"International"
"American Airlines","Dallas/Fort Worth International Airport","LHR","2023-06-08 08:40",27,717,"International"
"American Airlines","Corfu International Airport, ""Ioannis Kapodistrias""","LHR","2023-06-08 08:40",10,717,"International"
"Air Canada","Zurich Airport","LHR","2023-06-08 08:40",73,183,"International"
"China Southern Airlines","Amsterdam Airport Schiphol","LHR","2023-06-08 08:40",95,18,"International"
"American Airlines","Manchester Airport","LHR","2023-06-08 08:45",37,717,"Domestic"
"American Airlines","Paris Charles de Gaulle Airport","LHR","2023-06-08 08:45",72,717,"International"
"Air Canada","Hamburg Airport","LHR","2023-06-08 08:45",41,183,"International"
"British Airways","City of Derry Airport","LHR","2023-06-08 08:45",19,773,"Domestic"
"British Airways","Palma de Mallorca Airport","LHR","2023-06-08 08:45",13,773,"International"
"American Airlines","Dublin Airport","LHR","2023-06-08 08:50",107,717,"International"
"Air Canada","Cologne Bonn Airport","LHR","2023-06-08 08:50",18,183,"International"
"American Airlines","Munich International Airport","LHR","2023-06-08 08:55",77,717,"International"
"American Airlines","Barcelona-El Prat Airport","LHR","2023-06-08 08:55",47,717,"International"
"Air France","Nice Cote d'Azur International Airport","LHR","2023-06-08 08:55",48,67,"International"
"Swiss","Aeroport Geneve-Cointrin","LHR","2023-06-08 08:55",70,61,"International"
"American Airlines","Edinburgh Airport","LHR","2023-06-08 09:00",73,717,"Domestic"
"Air France","Paris Charles de Gaulle Airport","LHR","2023-06-08 09:00",72,67,"International"
"British Airways","Hamad International Airport","LHR","2023-06-08 09:00",42,773,"International"
"Lufthansa Cargo","Munich International Airport","LHR","2023-06-08 09:00",77,107,"International"
"Lufthansa","Munich International Airport","LHR","2023-06-08 09:00",77,107,"International"
"Qatar Airways","Phoenix Sky Harbor International Airport","LHR","2023-06-08 09:35",12,185,"International"
"Delta Air Lines","Miami International Airport","LHR","2023-06-08 09:40",25,73,"International"
"British Airways","Tokyo International Airport","LHR","2023-06-08 09:35",28,773,"International"
"Delta Air Lines","John F. Kennedy International Airport","LHR","2023-06-08 09:20",135,73,"International"
"British Airways","Cairo International Airport","LHR","2023-06-08 09:20",26,773,"International"
"Aer Lingus","John F. Kennedy International Airport","LHR","2023-06-08 09:45",135,110,"International"
"United Airlines","Montreal-Pierre Elliott Trudeau International Airport","LHR","2023-06-08 09:30",18,98,"International"
"Iberia","Charlotte Douglas International Airport","LHR","2023-06-08 09:45",18,197,"International"
"Japan Airlines","Stuttgart Airport","LHR","2023-06-08 09:25",34,108,"International"
"United Airlines","Frankfurt Airport","LHR","2023-06-08 09:30",93,98,"International"
"British Airways","Sabiha Goekcen International Airport","LHR","2023-06-08 09:35",4,773,"International"
"British Airways","Shannon Airport","LHR","2023-06-08 09:50",19,773,"International"
"British Airways","Raleigh-Durham International Airport","LHR","2023-06-08 10:05",5,773,"International"
"Loganair","Dundee Airport","LHR","2023-06-08 09:45",11,16,"Domestic"
"Iberia","George Bush Intercontinental Airport","LHR","2023-06-08 09:35",24,197,"International"
"KLM Royal Dutch Airlines","Amsterdam Airport Schiphol","LHR","2023-06-08 09:55",95,22,"International"
"SAS","Copenhagen Airport","LHR","2023-06-08 09:55",60,54,"International"
"British Airways","Zakynthos International Airport","LHR","2023-06-08 09:40",2,773,"International"
"Brussels Airlines","Newark Liberty International Airport","LHR","2023-06-08 10:00",54,16,"International"
"Aer Lingus","Dublin Airport","LHR","2023-06-08 09:50",107,110,"International"
"British Airways","George Best Belfast City Airport","LHR","2023-06-08 10:10",42,773,"Domestic"
"Air India","Indira Gandhi International Airport","LHR","2023-06-08 09:45",38,26,"International"
"Air France","Logan International Airport","LHR","2023-06-08 09:55",49,67,"International"
"American Airlines","Glasgow International Airport","LHR","2023-06-08 10:10",56,717,"Domestic"
"British Airways","Chhatrapati Shivaji International Airport","LHR","2023-06-08 10:05",38,773,"International"
"Finnair","Seattle-Tacoma International Airport","LHR","2023-06-08 09:50",26,146,"International"
"British Airways","Santorini Airport","LHR","2023-06-08 10:15",7,773,"International"
"Saudi Arabian Airlines","King Khalid International","LHR","2023-06-08 10:00",25,27,"International"
"American Airlines","Jomo Kenyatta International Airport","LHR","2023-06-08 09:55",13,717,"International"
"British Airways","Prague Vaclav Havel Airport","LHR","2023-06-08 10:10",28,773,"International"
"Swiss","San Francisco International Airport","LHR","2023-06-08 10:25",43,61,"International"
"Aer Lingus","Los Angeles International Airport","LHR","2023-06-08 10:10",74,110,"International"
"United Airlines","Oslo Airport, Gardermoen","LHR","2023-06-08 10:20",49,98,"International"
"Malaysia Airlines","Philadelphia International Airport","LHR","2023-06-08 10:05",15,75,"International"
"British Airways","Tokyo International Airport","LHR","2023-06-08 09:40",28,773,"International"
"United Airlines","George Bush Intercontinental Airport","LHR","2023-06-08 10:35",24,98,"International"
"Air Canada","Stockholm Arlanda Airport","LHR","2023-06-08 10:35",55,183,"International"
"British Airways","Leonardo da Vinci-Fiumicino Airport","LHR","2023-06-08 10:35",44,773,"International"
"Qatar Airways","Lynden Pindling International Airport","LHR","2023-06-08 10:15",7,185,"International"
"Delta Air Lines","Indira Gandhi International Airport","LHR","2023-06-08 10:30",38,73,"International"
"Delta Air Lines","John F. Kennedy International Airport","LHR","2023-06-08 10:30",135,73,"International"
"United Airlines","Warsaw Chopin Airport","LHR","2023-06-08 10:15",34,98,"International"
"American Airlines","Milano Linate Airport","LHR","2023-06-08 10:30",29,717,"International"
"Virgin Atlantic","Los Angeles International Airport","LHR","2023-06-08 10:40",74,111,"International"
"American Airlines","Valencia Airport","LHR","2023-06-08 10:20",7,717,"International"
"Finnair","Chicago O'Hare International Airport","LHR","2023-06-08 10:35",49,146,"International"
"American Airlines","Indira Gandhi International Airport","LHR","2023-06-08 10:15",38,717,"International"
"Gulf Air","Bahrain International Airport","LHR","2023-06-08 10:00",19,20,"International"
"Cathay Pacific Airways","Newcastle International Airport","LHR","2023-06-08 10:00",27,46,"Domestic"
"Aer Lingus","Miami International Airport","LHR","2023-06-08 10:25",25,110,"International"
"American Airlines","Lyon-Saint Exupery Airport","LHR","2023-06-08 10:40",15,717,"International"
