"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"United Airlines","St. John's International Airport","YYZ","2023-06-14 08:45",4,46,"Domestic"
"United Airlines","Austin-Bergstrom International Airport","YYZ","2023-06-14 09:10",1,46,"International"
"Air Canada Rouge","Hewanorra International Airport","YYZ","2023-06-14 09:00",1,19,"International"
"Caspian Airlines","Hewanorra International Airport","YYZ","2023-06-14 09:00",1,19,"International"
"Smartlynx Airlines","Punta Cana International Airport","YYZ","2023-06-14 09:00",4,1,"International"
"Westjet","Punta Cana International Airport","YYZ","2023-06-14 09:15",4,24,"International"
"Air Canada","Fredericton International Airport","YYZ","2023-06-14 09:15",2,75,"Domestic"
"Turkish Airlines","Detroit Metropolitan Wayne County Airport","YYZ","2023-06-14 08:55",5,5,"International"
"Air Canada","Halifax Stanfield International Airport","YYZ","2023-06-14 08:25",9,75,"Domestic"
"Air Canada","Chicago O'Hare International Airport","YYZ","2023-06-14 09:00",12,75,"International"
"Air Canada","Fort Lauderdale-Hollywood International Airport","YYZ","2023-06-14 08:55",5,75,"International"
"United Airlines","Seattle-Tacoma International Airport","YYZ","2023-06-14 09:00",2,46,"International"
"Air Canada Rouge","Phoenix Sky Harbor International Airport","YYZ","2023-06-14 09:15",1,19,"International"
"Caspian Airlines","Phoenix Sky Harbor International Airport","YYZ","2023-06-14 09:15",1,19,"International"
"Jazz Aviation","Gander International Airport","YYZ","2023-06-14 09:25",1,26,"Domestic"
"Air Canada","Newark Liberty International Airport","YYZ","2023-06-14 09:30",12,75,"International"
"Air Canada Rouge","McCarran International Airport","YYZ","2023-06-14 09:30",3,19,"International"
"Caspian Airlines","McCarran International Airport","YYZ","2023-06-14 09:30",3,19,"International"
"Netjets Aviation","Birmingham-Shuttlesworth International Airport","YYZ","2023-06-14 09:30",1,1,"International"
"Deutsche Rettungsflugwacht","Birmingham-Shuttlesworth International Airport","YYZ","2023-06-14 09:30",1,1,"International"
"Sierra Nevada Airways","Birmingham-Shuttlesworth International Airport","YYZ","2023-06-14 09:30",1,1,"International"
"Delta Air Lines","McCarran International Airport","YYZ","2023-06-14 09:35",3,16,"International"
"Delta Air Lines","La Guardia Airport","YYZ","2023-06-14 09:35",19,16,"International"
"Turkish Airlines","Denver International Airport","YYZ","2023-06-14 08:40",4,5,"International"
"Air Canada","Lambert-St. Louis International Airport","YYZ","2023-06-14 09:40",2,75,"International"
"Air Canada","Calgary International Airport","YYZ","2023-06-14 08:05",18,75,"Domestic"
"Air Canada","Minneapolis-St Paul International Airport","YYZ","2023-06-14 09:55",5,75,"International"
