"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Allegiant Air","Rogue Valley International - Medford Airport","LAX","2023-06-05 17:38",1,11,"Domestic"
"American Airlines","London Heathrow Airport","LAX","2023-06-05 18:13",38,69,"International"
"American Airlines","San Antonio International Airport","LAX","2023-06-05 18:15",7,69,"Domestic"
"Air France","Paris Charles de Gaulle Airport","LAX","2023-06-05 18:20",18,23,"International"
"Uzbekistan Airways","Istanbul Airport","LAX","2023-06-05 18:35",9,4,"International"
"Air France","Memphis International Airport","LAX","2023-06-05 18:40",4,23,"Domestic"
"American Airlines","Helsinki-Vantaa Airport","LAX","2023-06-05 18:45",2,69,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-05 19:02",23,23,"International"
"Lufthansa Cargo","Frankfurt Airport","LAX","2023-06-05 18:40",7,5,"International"
"Lufthansa","Frankfurt Airport","LAX","2023-06-05 18:40",7,5,"International"
NA,"Guadalajara International Airport","LAX","2023-06-05 19:11",24,39,"International"
"Swiss","Zurich Airport","LAX","2023-06-05 19:25",3,2,"International"
"French bee","Paris Orly Airport","LAX","2023-06-05 19:45",2,1,"International"
"Aeromexico","Seattle-Tacoma International Airport","LAX","2023-06-05 19:47",3,23,"Domestic"
"American Airlines","Barcelona-El Prat Airport","LAX","2023-06-05 19:55",3,69,"International"
"British Airways","Dublin Airport","LAX","2023-06-05 20:15",4,14,"International"
"Air France","London Heathrow Airport","LAX","2023-06-05 20:25",38,23,"International"
"Saudi Arabian Airlines","King Abdulaziz International Airport","LAX","2023-06-05 20:40",2,2,"International"
"Avianca","El Dorado International Airport","LAX","2023-06-05 20:45",4,12,"International"
"American Airlines","London Heathrow Airport","LAX","2023-06-05 20:55",38,69,"International"
"Delta Air Lines","Jorge Chavez International Airport","LAX","2023-06-05 21:10",7,32,"International"
"Air France","Paris Charles de Gaulle Airport","LAX","2023-06-05 21:15",18,23,"International"
"American Airlines","Brisbane Airport","LAX","2023-06-05 21:20",4,69,"International"
"Air Canada","Auckland International Airport","LAX","2023-06-05 22:00",4,9,"International"
"EVA Airways","Tocumen International Airport","LAX","2023-06-05 22:06",10,14,"International"
"American Airlines","Melbourne Airport","LAX","2023-06-05 22:20",4,69,"International"
"Air France","Tampa International Airport","LAX","2023-06-05 22:28",1,23,"Domestic"
"Air France","London Heathrow Airport","LAX","2023-06-05 22:50",38,23,"International"
"American Airlines","Sydney International Airport","LAX","2023-06-05 22:54",9,69,"International"
"Copa Airlines","Incheon International Airport","LAX","2023-06-05 23:00",23,7,"International"
"Aeromexico","Incheon International Airport","LAX","2023-06-05 23:30",23,23,"International"
"American Airlines","Sydney International Airport","LAX","2023-06-05 23:40",9,69,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-05 23:40",9,9,"International"
"Singapore Airlines","Singapore Changi Airport","LAX","2023-06-05 23:40",5,14,"International"
"American Airlines","Nadi International Airport","LAX","2023-06-05 23:55",4,69,"International"
"China Airlines","Taiwan Taoyuan International Airport","LAX","2023-06-06 00:05",20,8,"International"
"Avianca","Taiwan Taoyuan International Airport","LAX","2023-06-06 00:15",20,12,"International"
NA,"Guadalajara International Airport","LAX","2023-06-06 00:43",24,39,"International"
NA,"General Francisco J. Mujica International Airport","LAX","2023-06-06 00:43",3,39,"International"
"EVA Airways","Taiwan Taoyuan International Airport","LAX","2023-06-06 00:50",20,14,"International"
NA,"Del Bajio International Airport","LAX","2023-06-06 00:50",2,39,"International"
"American Airlines","Tokyo International Airport","LAX","2023-06-06 00:58",22,69,"International"
"Air Canada","Aeropuerto Internacional El Salvador","LAX","2023-06-06 01:00",12,9,"International"
NA,"Guadalajara International Airport","LAX","2023-06-06 01:10",24,39,"International"
"American Airlines","Hong Kong International Airport","LAX","2023-06-06 01:15",5,69,"International"
"EVA Airways","Tocumen International Airport","LAX","2023-06-06 01:20",10,14,"International"
"All Nippon Airways","Tokyo International Airport","LAX","2023-06-06 01:20",22,10,"International"
"American Airlines","Miami International Airport","LAX","2023-06-05 23:59",5,69,"Domestic"
"EVA Airways","Tocumen International Airport","LAX","2023-06-06 01:54",10,14,"International"
"Hawaiian Airlines","Daniel K. Inouye International Airport","LAX","2023-06-06 07:00",19,18,"Domestic"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-06 07:00",23,23,"International"
"American Airlines","Phoenix Sky Harbor International Airport","LAX","2023-06-06 07:17",5,69,"Domestic"
"British Airways","Chicago O'Hare International Airport","LAX","2023-06-06 07:45",9,14,"Domestic"
"LATAM Airlines Chile","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-06 07:55",9,10,"Domestic"
"Hawaiian Airlines","Kahului Airport","LAX","2023-06-06 08:15",4,18,"Domestic"
"China Eastern Airlines","Daniel K. Inouye International Airport","LAX","2023-06-06 08:20",19,2,"Domestic"
"Delta Air Lines","San Francisco International Airport","LAX","2023-06-06 08:28",2,32,"Domestic"
"Qantas Airways","Los Cabos International Airport","LAX","2023-06-06 08:50",1,5,"International"
"Air Tahiti Nui","Philadelphia International Airport","LAX","2023-06-06 09:00",2,12,"Domestic"
"Hawaiian Airlines","Lihue Airport","LAX","2023-06-06 09:15",2,18,"Domestic"
"Air Tahiti Nui","Dallas/Fort Worth International Airport","LAX","2023-06-06 09:20",11,12,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-06-06 09:20",24,39,"International"
"China Airlines","San Antonio International Airport","LAX","2023-06-06 09:45",7,8,"Domestic"
"British Airways","Chicago O'Hare International Airport","LAX","2023-06-06 09:58",9,14,"Domestic"
"Hawaiian Airlines","Daniel K. Inouye International Airport","LAX","2023-06-06 10:00",19,18,"Domestic"
